date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_100,aVWAP_BoS_CHoCH_bull_231,aVWAP_BoS_CHoCH_bull_330,aVWAP_BoS_CHoCH_bull_428,aVWAP_BoS_CHoCH_bull_811,aVWAP_BoS_CHoCH_bear_211,aVWAP_BoS_CHoCH_bear_358,aVWAP_BoS_CHoCH_bear_477,aVWAP_BoS_CHoCH_bear_790,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-03-26 14:00:00+00:00,65.525,65.525,65.525,65.525,0.0,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-26 15:00:00+00:00,65.525,65.525,65.525,65.525,0.0,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-26 16:00:00+00:00,65.525,65.525,65.525,65.525,0.0,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-26 17:00:00+00:00,65.525,65.525,65.525,65.525,0.0,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-26 18:00:00+00:00,65.525,65.525,65.525,65.525,0.0,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-26 19:00:00+00:00,65.525,65.525,65.525,65.525,0.0,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-27 14:00:00+00:00,65.525,65.525,65.525,65.525,0.0,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-27 15:00:00+00:00,65.525,65.525,65.525,65.525,0.0,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-27 16:00:00+00:00,65.525,65.525,65.525,65.525,0.0,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-27 17:00:00+00:00,65.525,65.525,65.525,65.525,0.0,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
