date,Close,High,Low,Open,Volume,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,Peaks_Valleys_avg
2021-12-31 00:00:00+00:00,1.9350533879,2.0509782453,1.8726323109,1.9528879814,1009725,0,,,
2022-01-07 00:00:00+00:00,2.0688128387,2.1401512125,1.9173079675,1.9350533879,601201,0,,,
2022-01-14 00:00:00+00:00,2.3274144435,2.345249037,1.9796398715,2.0688128387,707596,0,,,
2022-01-21 00:00:00+00:00,2.122316619,2.3898355206,2.0527617046,2.3630836304,635719,0,,,
2022-01-28 00:00:00+00:00,2.0955647289,2.2649933665,1.9439706847,2.0509782453,468857,0,,,
2022-02-04 00:00:00+00:00,1.9618052781,2.2292350067,1.9319323341,2.1133993223,1003661,0,,,
2022-02-11 00:00:00+00:00,2.1044820256,2.1401512125,1.8637150142,1.9350533879,1039388,0,,,
2022-02-18 00:00:00+00:00,2.0457980729,2.28282796,2.0278524758,2.1401512125,1188106,0,,,
2022-02-25 00:00:00+00:00,2.2521724399,2.2521724399,1.9470972887,2.0727164686,847538,0,,,
2022-03-04 00:00:00+00:00,2.7097851667,2.7187579653,2.1983356485,2.2342268428,2363497,0,,,
2022-03-11 00:00:00+00:00,2.539301994,3.1853434907,2.5123835983,2.8174587495,4043494,0,,,
2022-03-18 00:00:00+00:00,2.4226556127,2.5213563969,2.2073084471,2.476492404,1086245,0,,,
2022-03-25 00:00:00+00:00,2.5841659868,2.6468858488,2.3867644184,2.476492404,688248,0,,,
2022-04-01 00:00:00+00:00,2.682866771,2.8533499438,2.4316284112,2.5303291954,1219194,0,,,
2022-04-08 00:00:00+00:00,2.6200571811,2.8174587495,2.4675196055,2.7187579653,1048227,0,,,
2022-04-15 00:00:00+00:00,3.1943162893,3.4724730448,2.4944380012,2.6200571811,2714090,0,,,
2022-04-22 00:00:00+00:00,3.2750714764,3.6878202104,3.1225339008,3.2391802821,2861251,0,,,
2022-04-29 00:00:00+00:00,3.1494522964,3.5173370376,2.8802683395,3.158425095,1973420,0,,,
2022-05-06 00:00:00+00:00,3.4545274477,3.5532282319,3.0238331165,3.1225339008,1176810,0,,,
2022-05-13 00:00:00+00:00,3.0597243108,3.4097531828,2.7636219581,3.4096634548,1365871,0,,,
