date,Close,High,Low,Open,Volume,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,Peaks_Valleys_avg
2024-06-21 00:00:00+00:00,1.74,1.75,1.68,1.74,927200,0,,,
2024-06-24 00:00:00+00:00,1.73,1.79,1.68,1.75,576679,0,,,
2024-06-25 00:00:00+00:00,1.73,1.755,1.68,1.72,712957,0,,,
2024-06-26 00:00:00+00:00,1.79,1.81,1.735,1.74,1062276,0,,,
2024-06-27 00:00:00+00:00,1.72,1.85,1.72,1.8,824334,0,,,
2024-06-28 00:00:00+00:00,1.79,1.79,1.72,1.76,463035,0,,,
2024-07-01 00:00:00+00:00,1.79,1.8,1.76,1.76,154652,0,,,
2024-07-02 00:00:00+00:00,1.69,1.8,1.68,1.8,1055723,0,,,
2024-07-03 00:00:00+00:00,1.72,1.77,1.7,1.72,365375,0,,,
2024-07-05 00:00:00+00:00,1.78,1.81,1.73,1.81,844635,0,,,
2024-07-08 00:00:00+00:00,1.77,1.8,1.7225,1.77,549660,0,,,
2024-07-09 00:00:00+00:00,1.81,1.81,1.735,1.8,529088,0,,,
2024-07-10 00:00:00+00:00,1.9,1.9,1.81,1.81,1062620,0,,,
2024-07-11 00:00:00+00:00,1.94,1.97,1.89,1.94,888290,0,,,
2024-07-12 00:00:00+00:00,2.02,2.02,1.86,1.88,1045031,0,,,
2024-07-15 00:00:00+00:00,2.09,2.125,2.03,2.1,1818570,0,,,
2024-07-16 00:00:00+00:00,2.1,2.21,2.06,2.13,1208715,0,,,2.123333333333333
2024-07-17 00:00:00+00:00,1.98,2.17,1.97,2.06,1413247,0,,,2.078416365302014
2024-07-18 00:00:00+00:00,1.93,2.02,1.885,2.0,1378024,0,,,2.032453466087131
2024-07-19 00:00:00+00:00,1.93,1.94,1.82,1.84,765110,0,,,2.010650791365658
2024-07-22 00:00:00+00:00,1.92,1.96,1.875,1.96,596791,0,,,2.0003756348588966
