date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_323,aVWAP_BoS_CHoCH_bull_378,aVWAP_BoS_CHoCH_bull_425,aVWAP_BoS_CHoCH_bull_655,aVWAP_BoS_CHoCH_bear_54,aVWAP_BoS_CHoCH_bear_298,aVWAP_BoS_CHoCH_bear_459,aVWAP_BoS_CHoCH_bear_612,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-03-06 15:00:00+00:00,11.63,11.63,11.63,11.63,0.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-06 16:00:00+00:00,11.63,11.63,11.63,11.63,0.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-06 17:00:00+00:00,11.63,11.63,11.63,11.63,0.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-06 18:00:00+00:00,11.63,11.63,11.63,11.63,0.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-06 19:00:00+00:00,11.63,11.63,11.63,11.63,0.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-06 20:00:00+00:00,11.63,11.63,11.63,11.63,0.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-07 15:00:00+00:00,11.63,11.63,11.63,11.63,0.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-07 16:00:00+00:00,11.63,11.63,11.63,11.63,0.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-07 17:00:00+00:00,11.63,11.63,11.63,11.63,0.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-07 18:00:00+00:00,11.63,11.63,11.63,11.63,0.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
