date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bear_171,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-02-13 17:00:00+00:00,4.5,4.68,4.42,4.5,79341.0,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2024-02-14 17:00:00+00:00,4.525,4.87,4.5,4.8,105368.0,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2024-02-15 17:00:00+00:00,4.92,4.955,4.81,4.9,75139.0,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2024-02-16 17:00:00+00:00,4.855,4.95,4.8,4.825,60802.0,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,93.76443418013857,44.3879907621247,False,False,True,False,False,
2024-02-19 17:00:00+00:00,4.825,4.825,4.825,4.825,0.0,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,89.60739030023095,41.02078521939954,False,False,True,False,False,
2024-02-20 17:00:00+00:00,4.655,4.765,4.635,4.67,91370.0,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,77.93326529649994,30.963033455071653,False,False,True,False,False,
2024-02-21 17:00:00+00:00,4.625,4.625,4.51,4.55,60181.0,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,66.10238956989886,21.22853344800582,False,False,True,False,False,
2024-02-22 17:00:00+00:00,4.375,4.425,4.36,4.42,66438.0,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,55.19741985237918,12.550695407616374,False,False,False,False,False,
2024-02-23 17:00:00+00:00,4.435,4.535,4.425,4.45,78074.0,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,49.09257056388529,8.18756429912574,False,False,False,True,False,
2024-02-26 17:00:00+00:00,4.555,4.615,4.43,4.445,123795.0,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,44.902888730038285,5.167750534455905,False,False,False,True,False,
