date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_90,aVWAP_BoS_CHoCH_bull_133,aVWAP_BoS_CHoCH_bull_217,aVWAP_BoS_CHoCH_bear_161,Peaks_Valleys_avg,color,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2024-05-22 00:00:00+00:00,9.6918368557,9.7014613213,9.6918368557,9.7014613213,7150,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-05-23 00:00:00+00:00,9.7158980197,9.7688325805,9.7158980197,9.7688325805,1231,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-05-24 00:00:00+00:00,9.7062735541,9.7062735541,9.7062735541,9.7062735541,88,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-05-28 00:00:00+00:00,9.7062735541,9.7062735541,9.7062735541,9.7062735541,17,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-05-29 00:00:00+00:00,9.6870246229,9.6870246229,9.6870246229,9.6870246229,35,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-05-30 00:00:00+00:00,9.7207102525,9.7207102525,9.7014613213,9.7014613213,100,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-05-31 00:00:00+00:00,9.6991514496,9.6991514496,9.6991514496,9.6991514496,1,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-06-03 00:00:00+00:00,9.7495836493,9.7495836493,9.7399591837,9.7399591837,20004,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-06-04 00:00:00+00:00,9.7495836493,9.7495836493,9.7495836493,9.7495836493,17,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-06-05 00:00:00+00:00,9.7640203477,9.7640203477,9.7495836493,9.7495836493,44129,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-06-06 00:00:00+00:00,9.7784570461,9.7784570461,9.7784570461,9.7784570461,2,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-06-07 00:00:00+00:00,9.7495836493,9.7495836493,9.7495836493,9.7495836493,49,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
