date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,9.95,9.97,9.92,9.96,733910,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,733910.0,False,False,False,False
2022-01-07 00:00:00+00:00,9.96,9.97,9.93,9.94,1362047,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1362047,100892.37037037036,False,False,False,False,780438.6666666666,False,False,False,False
2022-01-14 00:00:00+00:00,9.96,9.98,9.96,9.97,3479734,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1362047,194311.23182441702,False,False,False,False,980386.4691358024,False,False,False,False
2022-01-21 00:00:00+00:00,9.97,9.99,9.95,9.95,4231037,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5593084,594220.3257633491,False,False,False,False,1221175.397347965,False,False,False,False
2022-01-28 00:00:00+00:00,8.68,9.99,7.81,9.96,5541569,8.826666666666666,"rgba(38, 166, 154, 0.5)",,8.826666666666666,,71.81019805541358,23.351827849258143,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,51515,554019.9312623603,False,False,False,False,1541204.5530999675,False,False,False,False
2022-02-04 00:00:00+00:00,7.08,8.86,6.94,8.63,1529610,8.567087323533082,#000000,,8.567087323533082,,51.458122482629406,5.26897875474404,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1478095,403492.8993170003,False,False,False,False,1540345.6973147849,False,False,False,False
2022-02-11 00:00:00+00:00,5.41,7.67,5.08,7.25,5660282,7.449497090710957,"rgba(239, 83, 80, 0.5)",,7.449497090710957,,36.85683011927466,-6.855973539316018,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7138377,-155164.13026203675,False,False,False,False,1845526.1641803563,False,False,False,False
2022-02-18 00:00:00+00:00,4.95,5.76,4.8,5.42,4448583,6.859246448379294,"rgba(239, 83, 80, 0.5)",,6.859246448379294,,26.41695160673888,-14.927210772978277,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11586960,-1001963.8243167007,False,False,False,False,2038345.1890558857,False,False,False,False
2022-02-25 00:00:00+00:00,5.02,5.15,4.32,4.88,1776736,6.669054062451535,"rgba(239, 83, 80, 0.5)",,6.669054062451535,,19.42931145588718,-19.854470836759653,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9810224,-1654427.541033982,False,False,False,False,2018966.7306073017,False,False,False,False
2022-03-04 00:00:00+00:00,4.4,5.2311,4.3,4.9,1536675,5.580442764555805,"rgba(239, 83, 80, 0.5)",,5.580442764555805,,14.36238934208603,-23.234258044976478,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11346899,-2372388.3898462798,False,False,False,False,1983241.417228983,False,False,False,False
