date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,37.5234528072,38.346292063,37.0079390567,37.9100881202,3136556,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3136556.0,False,False,False,False
2022-01-07 00:00:00+00:00,34.9954526842,37.7217273267,34.1527859765,37.6523312449,6760985,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6760985,-500813.70370370365,False,False,False,False,3405032.2222222225,False,False,False,False
2022-01-14 00:00:00+00:00,33.8464518439,35.6299311464,33.4101073138,34.698040905,6651201,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13412186,-1457211.6515775034,False,False,False,False,3645489.16872428,False,False,False,False
2022-01-21 00:00:00+00:00,31.3910623579,34.2258065822,31.2816511773,33.7981083309,5033717,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18445903,-2715633.2329421327,False,False,False,False,3748320.8599298885,False,False,False,False
2022-01-28 00:00:00+00:00,31.5502058933,32.9128724152,30.4263541392,30.7147023325,6867402,,"rgba(239, 83, 80, 0.5)",,,,0.8256529932114752,-49.21949990485478,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11578501,-3372141.9564279006,False,False,False,False,3979363.9073424893,False,False,False,False
2022-02-04 00:00:00+00:00,31.4308482418,33.3604636085,31.1225076419,31.6098847191,4795901,,"rgba(239, 83, 80, 0.5)",,,,1.3966673571843198,-48.71357756246139,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16374402,-4335272.330025833,False,False,False,False,4039848.136428231,False,False,False,False
2022-02-11 00:00:00+00:00,30.824113513,33.5787886461,30.1378070166,31.3811158869,9693992,,"rgba(239, 83, 80, 0.5)",,,,1.7157687067473044,-48.46004057010494,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-26068394,-5945133.194468364,False,False,False,False,4458673.6078039175,False,False,False,False
2022-02-18 00:00:00+00:00,28.2678704757,30.844006455,27.8312204004,30.565505268,10716976,,"rgba(239, 83, 80, 0.5)",,,,1.7054106277443775,-48.46004057010494,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-36785370,-8229595.1800633,False,False,False,False,4922251.562781405,False,False,False,False
2022-02-25 00:00:00+00:00,29.0735346236,29.1133205075,26.6167562959,28.0490481145,4632508,,"rgba(239, 83, 80, 0.5)",,,,4.528456087180512,-45.883021478125414,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-32152862,-10001689.018577129,False,False,False,False,4900789.076649449,False,False,False,False
2022-03-04 00:00:00+00:00,27.9694763468,29.8443861232,27.9296904629,28.6458363722,6453210,,"rgba(239, 83, 80, 0.5)",,,,6.118308681161904,-44.517355014961126,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-38606072,-12120532.20238623,False,False,False,False,5015783.21911986,False,False,False,False
