date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color
2021-12-31 00:00:00+00:00,4.634471964,4.7557932196,4.5070846456,4.5980755873,931030,,#000000
2022-01-07 00:00:00+00:00,4.9195769147,4.9984357308,4.689066529,4.689066529,867216,,#000000
2022-01-14 00:00:00+00:00,4.9195769147,5.2046818653,4.7819986108,4.937775103,775861,,#000000
2022-01-21 00:00:00+00:00,4.5616792106,5.0348321075,4.5616792106,4.937775103,598899,,#000000
2022-01-28 00:00:00+00:00,4.6041416501,4.9741714797,4.4646828668,4.5010185828,650312,,#000000
2022-02-04 00:00:00+00:00,4.5677452734,4.7497271568,4.4920408099,4.5738113362,1022262,,#000000
2022-02-11 00:00:00+00:00,4.4039615784,4.6466040896,4.3433009506,4.5677452734,1187258,,#000000
2022-02-18 00:00:00+00:00,4.4464240178,4.6405380268,4.3584661075,4.3736312645,990934,,#000000
2022-02-25 00:00:00+00:00,4.4646222062,4.4949525201,4.1552530044,4.4342918923,725938,4.371609243566666,#000000
2022-03-04 00:00:00+00:00,4.7517546724,4.8648916884,4.390939324,4.4215168959,1224018,4.558408638948164,#000000
2022-03-11 00:00:00+00:00,5.1370320782,5.3327285384,4.7283322523,4.794563273,1442377,4.774243215104158,#000000
2022-03-18 00:00:00+00:00,5.9137024044,5.9381644619,4.9596821613,5.1920717076,2396144,5.117659375057341,#000000
2022-03-25 00:00:00+00:00,6.0298971776,6.1715936457,5.6935438867,5.956511005,1336253,5.276581455269323,#000000
2022-04-01 00:00:00+00:00,6.084936807,6.2500556952,5.7546990305,5.9870885769,1415106,5.40141073753157,#000000
2022-04-08 00:00:00+00:00,6.1399764364,6.3295573821,6.0421282063,6.1216298932,1099795,5.829858529747763,#000000
2022-04-15 00:00:00+00:00,6.1705540083,6.3234418677,6.0513014779,6.1277454076,633339,5.85325691878065,#000000
2022-04-22 00:00:00+00:00,5.9870885769,6.3050341695,5.8953558612,6.1460919508,753991,5.854397562128676,#000000
2022-04-29 00:00:00+00:00,5.8158541743,5.9137024044,5.7180059442,5.9137024044,729815,5.825243412252683,#000000
2022-05-06 00:00:00+00:00,6.1093988645,6.5007917847,5.8938269826,5.9014713756,1014679,5.963052515900124,#000000
2022-05-13 00:00:00+00:00,4.2625135221,6.1277454076,3.761041343,6.0115506344,2320516,5.242438913708164,#000000
2022-05-20 00:00:00+00:00,4.3664772665,4.50407634,4.164665292,4.1830118351,1318026,5.075433372685229,#000000
