date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color
2021-12-31 00:00:00+00:00,70.0463126743,70.6538606174,68.7154097898,69.6044737032,17866020,,#000000
2022-01-07 00:00:00+00:00,73.7365479403,74.0286509957,68.9071107584,71.1368307477,23887705,,#000000
2022-01-14 00:00:00+00:00,75.4599559669,75.6887700269,72.4707680338,73.7365479403,21959454,,#000000
2022-01-21 00:00:00+00:00,72.665503404,75.6449545686,72.646029867,75.1678529116,24600159,,#000000
2022-01-28 00:00:00+00:00,70.3773628037,73.3762875054,67.7971191481,71.6236691732,29115501,70.5169231524,#000000
2022-02-04 00:00:00+00:00,68.7707959993,71.3997234975,68.2158001941,70.0852597484,14084462,70.17302183559902,#000000
2022-02-11 00:00:00+00:00,70.0073656003,71.9449825341,68.3569833375,69.2673711934,11112026,70.15871824080793,#000000
2022-02-18 00:00:00+00:00,70.4552569518,72.9770799964,69.4572381794,70.0560494428,14197269,70.32543039866148,#000000
2022-02-25 00:00:00+00:00,68.975268138,70.6743342433,65.2683829979,70.2994686556,12294100,69.1620858601642,#000000
2022-03-04 00:00:00+00:00,75.7910060963,75.89811055,66.9236336449,67.9626442128,22138423,70.93634806166651,#000000
2022-03-11 00:00:00+00:00,75.5865339576,79.3449266032,73.921546542,77.0957330769,24985572,72.54872908031886,#000000
2022-03-18 00:00:00+00:00,77.8649377893,78.4491439001,73.6294434867,75.7228487167,19440323,73.27777286363677,#000000
2022-03-25 00:00:00+00:00,80.8956052344,81.0711895699,76.8912609382,77.134680151,16942418,74.13251264489729,#000000
2022-04-01 00:00:00+00:00,76.2816390851,82.1539596387,75.6475845403,80.9638880315,14267382,75.68633518090827,#000000
2022-04-08 00:00:00+00:00,73.2284225847,79.0227056558,72.0090869215,76.4279593647,12199705,75.18434556755005,#000000
2022-04-15 00:00:00+00:00,74.5062863596,74.7891722335,72.5260852427,72.7309336341,8901485,74.93933694744648,#000000
2022-04-22 00:00:00+00:00,72.9260273402,77.8716527898,72.6919148929,74.2136458005,10437372,74.82908085092531,#000000
2022-04-29 00:00:00+00:00,71.4238058032,74.3502113947,68.0389300024,72.4675571309,21480616,74.12354543365372,#000000
2022-05-06 00:00:00+00:00,70.6044122376,73.4722897173,69.0436625888,71.735955733,10849566,73.8650346017706,#000000
2022-05-13 00:00:00+00:00,67.609723849,69.9215842663,65.3856555994,69.6679624483,12734064,71.9061423435233,#000000
2022-05-20 00:00:00+00:00,67.1414989543,70.0971686018,65.88314455,67.356102031,12829736,71.58847775258562,#000000
2022-05-27 00:00:00+00:00,69.4923781128,69.9313389516,65.756333641,67.7462894432,7894007,71.48134500076493,#000000
2022-06-03 00:00:00+00:00,73.335724123,74.6721160098,68.2925518203,68.8193048268,11676399,71.80879624677053,#000000
2022-06-10 00:00:00+00:00,68.0486846877,74.59895587,67.96089252,74.1258536327,9684998,71.61248423606216,#000000
2022-06-17 00:00:00+00:00,65.7953523822,67.9901565759,65.0637509844,66.4196522418,11129844,70.19682975912978,#000000
2022-06-24 00:00:00+00:00,68.9959687811,69.3283381405,65.8873377139,66.9464052482,12436282,70.15824312800159,#000000
2022-07-01 00:00:00+00:00,69.8953211653,70.8240002577,67.1874884433,69.6509319305,10845813,70.22841170972804,#000000
2022-07-08 00:00:00+00:00,70.5600598841,70.6969178556,67.5198578026,68.8786619484,12536491,70.28229951367064,#000000
2022-07-15 00:00:00+00:00,69.416318265,71.1465940477,67.0066404095,70.0028524287,9410575,70.26604971137033,#000000
2022-07-22 00:00:00+00:00,72.3392135138,73.2678926062,69.6118296529,70.0224035674,10645396,70.44881932821023,#000000
2022-07-29 00:00:00+00:00,77.0999158085,77.5300408619,72.1925799729,72.642256165,12910354,70.95196813190005,#000000
2022-08-05 00:00:00+00:00,78.2241062888,78.2729841358,75.2132309155,76.5720350613,8158513,71.29671081547258,#000000
2022-08-12 00:00:00+00:00,79.4265013242,80.5409162351,77.3247539046,78.6835580503,10124487,71.77571879962922,#000000
2022-08-19 00:00:00+00:00,79.8370752388,80.9514901497,77.9112880682,78.4098421073,7737881,73.18110318953764,#000000
2022-08-26 00:00:00+00:00,77.6473476946,80.1596690288,77.5984698476,78.9670495627,7341327,73.3188837636753,#000000
2022-09-02 00:00:00+00:00,72.3978669301,77.7157766803,71.3714321438,77.0021601146,9189071,73.09691688056613,#000000
