date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color
2022-12-14 00:00:00+00:00,21.8291836414,21.9417945093,21.8291836414,21.9417945093,517,,#000000
2022-12-15 00:00:00+00:00,21.3739758634,21.3739758634,21.3739758634,21.3739758634,195,,#000000
2022-12-16 00:00:00+00:00,21.2711534786,21.2711534786,20.3652423575,20.3652423575,223,,#000000
2022-12-19 00:00:00+00:00,21.0998117118,21.240142178,21.0998117118,21.240142178,399,,#000000
2022-12-20 00:00:00+00:00,21.0998117118,21.1618343129,21.0998117118,21.1618343129,118,,#000000
2022-12-21 00:00:00+00:00,21.2856196439,21.3614154205,21.2856196439,21.352753046,913,,#000000
2022-12-22 00:00:00+00:00,21.0733914696,21.0733914696,21.0733914696,21.0733914696,913,,#000000
2022-12-23 00:00:00+00:00,21.1368000507,21.1368000507,21.1368000507,21.1368000507,5,,#000000
2022-12-27 00:00:00+00:00,21.075990182,21.075990182,21.075990182,21.075990182,12,,#000000
2022-12-28 00:00:00+00:00,20.9157102673,21.0739608347,20.9157102673,21.0739608347,2095,,#000000
2022-12-29 00:00:00+00:00,21.1397250507,21.1607210142,21.1397250507,21.1607210142,100,,#000000
2022-12-30 00:00:00+00:00,21.061033568,21.061033568,21.0306675051,21.0350055141,201,,#000000
2023-01-03 00:00:00+00:00,21.0913996308,21.1000756487,21.021904727,21.0392567629,1113,,#000000
2023-01-04 00:00:00+00:00,21.1071032233,21.1781598103,21.1071032233,21.1433689783,2205,,#000000
2023-01-05 00:00:00+00:00,20.924733326,21.0566087988,20.924733326,21.0566087988,401,,#000000
2023-01-06 00:00:00+00:00,21.1677485887,21.2649199897,21.1677485887,21.2301291578,500,,#000000
2023-01-09 00:00:00+00:00,21.1759040456,21.4297643307,21.1759040456,21.4297643307,501,,#000000
2023-01-10 00:00:00+00:00,21.2520794832,21.2735092475,21.2520794832,21.2648332295,501,,#000000
2023-01-11 00:00:00+00:00,21.4251660412,21.4384403487,21.3229625498,21.3229625498,901,,#000000
2023-01-12 00:00:00+00:00,21.4721900585,21.5252005282,21.4721900585,21.4991724743,300,,#000000
2023-01-13 00:00:00+00:00,21.4988254336,21.4988254336,21.4167503038,21.4167503038,401,,#000000
2023-01-17 00:00:00+00:00,21.4858981669,21.5252005282,21.4659433256,21.4991724743,879,,#000000
2023-01-18 00:00:00+00:00,21.2637053472,21.3603561872,21.2637053472,21.3603561872,201,,#000000
2023-01-19 00:00:00+00:00,21.199329294,21.2215399,21.199329294,21.2215399,500,,#000000
2023-01-20 00:00:00+00:00,21.3851695985,21.4037362769,21.3851695985,21.4037362769,301,,#000000
2023-01-23 00:00:00+00:00,21.5432466455,21.5859326538,21.5425525641,21.5859326538,401,,#000000
2023-01-24 00:00:00+00:00,21.5167847907,21.5599045999,21.5167847907,21.5252005282,701,,#000000
2023-01-25 00:00:00+00:00,21.4708886558,21.5165245102,21.4708886558,21.5165245102,600,,#000000
2023-01-26 00:00:00+00:00,21.601983287,21.601983287,21.5772566358,21.5859326538,401,,#000000
