date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_208,aVWAP_BoS_CHoCH_bull_286,aVWAP_BoS_CHoCH_bull_400,aVWAP_BoS_CHoCH_bull_514,aVWAP_BoS_CHoCH_bull_668,aVWAP_BoS_CHoCH_bear_369,aVWAP_BoS_CHoCH_bear_530,aVWAP_BoS_CHoCH_bear_655,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,69.2219333375,69.4979178488,68.5162493052,68.5779694777,31613,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,31613.0,False,False,False,False
2022-01-04 00:00:00+00:00,69.8993498652,70.1920607106,69.5062810158,69.5062810158,53268,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,53268,2088.9411764705883,False,False,False,False,32462.21568627451,False,False,False,False
2022-01-05 00:00:00+00:00,70.0833395395,70.8109350693,69.5564600179,70.1920607106,39607,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,92875,5649.17877739331,False,False,False,False,32742.40330642061,False,False,False,False
2022-01-06 00:00:00+00:00,69.7404496921,70.0415237044,69.2303801362,70.0415237044,25387,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,89.31808884011367,40.20824810343754,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,67488,8074.2305900445535,False,False,False,False,32453.956117933525,False,False,False,False
2022-01-07 00:00:00+00:00,69.8491708632,70.1502448755,69.5480968508,69.715360191,19675,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,83.27069705942507,35.25824514668889,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,87163,11175.750959062414,False,False,False,False,31952.820583896915,False,False,False,False
2022-01-10 00:00:00+00:00,69.6233653539,70.3041271485,69.3055650076,69.4059230117,30251,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,74.80770252699783,28.20736606172045,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,56912,12969.329352824672,False,False,False,False,31886.08252178331,False,False,False,False
2022-01-11 00:00:00+00:00,69.0379436633,69.8993498652,68.4943378077,69.7655391931,25297,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,62.460250067559514,17.775068603117205,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,31615,13700.532123302137,False,False,False,False,31627.687128772202,False,False,False,False
2022-01-12 00:00:00+00:00,69.9578920343,70.4722268054,68.5445168097,68.9292224921,41263,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,62.01404130957543,17.775068603117205,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,72878,16021.217138074602,False,False,False,False,32005.54253548702,False,False,False,False
2022-01-13 00:00:00+00:00,71.3545409249,72.1406786238,69.7814292104,69.8157181952,82197,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,66.70950928715419,17.775068603117205,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,155075,21474.306662071678,False,False,False,False,33973.834985075766,False,False,False,False
2022-01-14 00:00:00+00:00,73.219527168,73.3533378402,70.658892693,71.3545409249,59072,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,72.71888442946218,14.10416205218749,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,214147,29030.098557676713,False,False,False,False,34958.07675036691,False,False,False,False
