date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color
2024-05-24 00:00:00+00:00,9.7292469827,9.7919540777,9.7147761146,9.72442336,8469,,#000000
2024-05-31 00:00:00+00:00,9.7221080211,9.7437178508,9.7099524919,9.7292469827,153,,#000000
2024-06-07 00:00:00+00:00,9.772659587,9.8016013231,9.7630123416,9.7630123416,64201,,#000000
2024-06-14 00:00:00+00:00,9.8305430593,9.8450139274,9.7871304551,9.7871304551,45,,#000000
2024-06-21 00:00:00+00:00,9.8401903047,9.8450139274,9.8257194366,9.8257194366,17,,#000000
2024-06-28 00:00:00+00:00,9.8098014817,9.8450139274,9.8098014817,9.8401903047,7273,,#000000
2024-07-05 00:00:00+00:00,9.8339873828,9.8339873828,9.7952899411,9.8001271213,2049,,#000000
2024-07-12 00:00:00+00:00,9.8581732839,9.8581732839,9.8243130224,9.8291502026,155,,#000000
2024-07-19 00:00:00+00:00,9.8581732839,9.8630104641,9.8436617433,9.8436617433,686,,#000000
2024-07-26 00:00:00+00:00,9.8678476443,9.8678476443,9.8581732839,9.8581732839,5054,,#000000
2024-08-02 00:00:00+00:00,9.9546028689,9.9546028689,9.8625267461,9.8678476443,244,,#000000
2024-08-09 00:00:00+00:00,9.9275330709,9.9644023298,9.9255925836,9.9546998933,48,,#000000
2024-08-16 00:00:00+00:00,9.9352950202,9.9401462385,9.9207413654,9.9352950202,72,,#000000
2024-08-23 00:00:00+00:00,9.9692535481,9.9692535481,9.9401462385,9.9401462385,12,,#000000
2024-08-30 00:00:00+00:00,9.9587749166,9.9692535481,9.949848675,9.9597451603,15,,#000000
2024-09-06 00:00:00+00:00,9.9902102592,9.9902102592,9.9794074015,9.9794074015,38,,#000000
2024-09-13 00:00:00+00:00,9.9999425634,10.0096748676,9.9902102592,9.9950764113,111,,#000000
2024-09-20 00:00:00+00:00,10.0096748676,10.0096748676,9.9999425634,10.0096748676,1053,,#000000
2024-09-27 00:00:00+00:00,10.029236799,10.029236799,10.0096748676,10.0096748676,89,,#000000
2024-10-04 00:00:00+00:00,9.9999543558,10.0389976134,9.9999543558,10.0194759846,9955,10.012968775,#000000
2024-10-11 00:00:00+00:00,9.980432727,9.9901935414,9.9706719126,9.9901935414,117,10.012590824482128,#000000
2024-10-18 00:00:00+00:00,9.9801399026,9.9853131342,9.956030691,9.956030691,60,10.01236127701737,#000000
2024-10-25 00:00:00+00:00,9.9023462118,9.9511502838,9.882824583,9.9511502838,44249,9.930785904287596,#000000
2024-11-01 00:00:00+00:00,9.9111309447,9.9121070262,9.9062365591,9.9121070262,33,9.930773192209612,#000000
2024-11-08 00:00:00+00:00,9.935602873,9.9404972586,9.8670814739,9.9307084873,14,9.922581423805493,#000000
2024-11-15 00:00:00+00:00,9.9404972586,9.9453916443,9.920919716,9.9307084873,14512,9.933684477421444,#000000
2024-11-22 00:00:00+00:00,9.9649691869,9.9649691869,9.9453916443,9.9502860299,283,9.933957403085412,#000000
2024-11-29 00:00:00+00:00,10.022233499,10.022233499,9.9774009265,9.9845467295,2469,9.9403478340795,#000000
