date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_152,aVWAP_BoS_CHoCH_bull_230,aVWAP_BoS_CHoCH_bull_266,aVWAP_BoS_CHoCH_bull_597,aVWAP_BoS_CHoCH_bull_636,aVWAP_BoS_CHoCH_bull_709,aVWAP_BoS_CHoCH_bear_94,aVWAP_BoS_CHoCH_bear_139,aVWAP_BoS_CHoCH_bear_241,aVWAP_BoS_CHoCH_bear_408,aVWAP_BoS_CHoCH_bear_656,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,131.2337234108,132.5547388485,130.6455340553,132.1015437714,287844,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,287844.0,False,False,False,False
2022-01-04 00:00:00+00:00,131.5422817612,132.9693641319,130.4623275348,131.2722932046,459913,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,459913,18035.803921568626,False,False,False,False,294591.8039215686,False,False,False,False
2022-01-05 00:00:00+00:00,126.1135832836,132.9982914773,126.1039408352,132.4775992609,658368,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,68.30441680733914,-76.78233277064345,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-198455,9545.968473663976,False,False,False,False,308857.5371011149,False,False,False,False
2022-01-06 00:00:00+00:00,122.0830398313,125.1396959901,121.948045553,124.387585011,789496,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,46.45813864749303,-76.78233277064345,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-987951,-29571.55970177383,False,False,False,False,327706.1042736202,False,False,False,False
2022-01-07 00:00:00+00:00,122.7580112229,123.0569271248,120.7234545998,122.3241010426,699836,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,34.309291658671384,-76.78233277064345,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-288115,-39710.518144841524,False,False,False,False,342299.4335177919,False,False,False,False
2022-01-10 00:00:00+00:00,126.8078395721,127.2321073039,121.8998333108,121.8998333108,618625,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,36.09938034020665,-76.78233277064345,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,330510,-25192.066452886957,False,False,False,False,353135.73024258437,False,False,False,False
2022-01-11 00:00:00+00:00,128.1674248036,128.2638492881,125.4868241343,127.405671376,436061,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,39.47505752000161,-76.78233277064345,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,766571,5857.465564873317,False,False,False,False,356387.7016056203,False,False,False,False
2022-01-12 00:00:00+00:00,128.6784745714,129.5270100351,126.6342754999,129.353445963,386258,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,42.495348936022054,-76.78233277064345,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,1152829,50836.74142507436,False,False,False,False,357559.0858563803,False,False,False,False
2022-01-13 00:00:00+00:00,126.7789122267,129.0430555474,126.7114150875,128.0035031799,244199,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,42.0922107516864,-76.78233277064345,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,908630,84475.69274173811,False,False,False,False,353113.592293385,False,False,False,False
2022-01-14 00:00:00+00:00,125.3903996498,127.7045872779,124.0597417637,126.4607114278,302289,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,40.34779535765321,-75.59455315698497,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,606341,104940.99890872877,False,False,False,False,351120.47102697776,False,False,False,False
