date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,9.881941276,9.9276486825,9.0409249972,9.1871886979,1636683,,#000000,,,,,,False,False,False,False,False,,,,9.48428683985,9.48428683985,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1636683.0,False,False,False,False
2022-01-07 00:00:00+00:00,9.4340086927,10.4030057096,9.0774909224,9.8453753509,2620325,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,,9.48428683985,9.740248316,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2620325,-194098.14814814815,False,False,False,False,1709545.3703703703,False,False,False,False
2022-01-14 00:00:00+00:00,9.159764254,9.5420610016,8.784963521,9.4797160992,2426486,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,,9.1635122613,9.1635122613,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5046811,-553558.3593964335,False,False,False,False,1762652.0836762688,False,False,False,False
2022-01-21 00:00:00+00:00,7.7885420603,9.4157257302,7.7702590977,9.0683494411,2910167,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,,8.59299241395,8.59299241395,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7956978,-1101959.814255957,False,False,False,False,1847653.1885891377,False,False,False,False
2022-01-28 00:00:00+00:00,7.9165227984,8.2090501997,7.3131850331,7.560005028,4242654,7.812919343733333,"rgba(239, 83, 80, 0.5)",,7.812919343733333,,1.8184120282172265,-48.281032379575905,False,False,False,True,True,,,,7.7611176164,8.59299241395,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3714324,-1295468.2724592194,False,False,False,False,2025060.6561010536,False,False,False,False
2022-02-04 00:00:00+00:00,8.0993524242,8.6204168578,7.8708153919,7.8708153919,1994862,7.93571048901776,"rgba(239, 83, 80, 0.5)",,7.93571048901776,,5.492079821464179,-44.88285159961699,False,False,False,True,True,,,,7.7611176164,8.59299241395,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1719462,-1326875.215240018,False,False,False,False,2022823.7186120865,False,False,False,False
2022-02-11 00:00:00+00:00,8.643270561,9.3608768424,7.9073813171,8.0993524242,3011983,8.164133987149144,"rgba(239, 83, 80, 0.5)",,8.164133987149144,,13.492608851479076,-37.524912942025296,False,False,False,True,True,,,,8.63412907975,8.63412907975,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1292521,-1132845.8659629798,False,False,False,False,2096094.7764926727,False,False,False,False
2022-02-18 00:00:00+00:00,8.062786499,8.7392561146,7.9530887235,8.6204168578,2151352,8.18065975257282,"rgba(239, 83, 80, 0.5)",,8.18065975257282,,17.27998550551666,-34.4207429246184,False,False,False,True,True,,,,8.34617241905,8.63412907975,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-858831,-1112548.4684842406,False,False,False,False,2100187.904159882,False,False,False,False
2022-02-25 00:00:00+00:00,8.2730405687,8.4752704493,7.4640194744,8.0079376113,2302254,8.162198360342144,"rgba(239, 83, 80, 0.5)",,8.162198360342144,,21.502419127656175,-30.92572984063915,False,False,False,True,True,,,,7.969644961849999,8.63412907975,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1443423,-923217.248596519,False,False,False,False,2115155.763111002,False,False,False,False
2022-03-04 00:00:00+00:00,9.35772811,9.3761126446,8.0983874901,8.1443488265,4762917,8.363867062477423,"rgba(239, 83, 80, 0.5)",,8.363867062477423,,30.071506739486278,-23.344255729480345,False,False,False,True,True,,,,8.73725006735,8.73725006735,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6206340,-395101.89684862876,False,False,False,False,2311286.2251027795,False,False,False,False
