date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color
2021-12-31 00:00:00+00:00,143.8184043557,147.5431031632,143.8164162592,146.5858346947,78838440,,#000000
2022-01-07 00:00:00+00:00,136.1890840067,145.7374145099,134.9808183541,143.6156185119,146251080,,#000000
2022-01-14 00:00:00+00:00,138.9545262492,142.3332962643,132.3480815535,134.2949250588,131091320,,#000000
2022-01-21 00:00:00+00:00,129.3177254514,137.575781321,129.2272670603,135.786991488,110850420,,#000000
2022-01-28 00:00:00+00:00,132.4961947433,132.5767126519,123.900112765,125.2774163232,191734100,129.6576733867333,#000000
2022-02-04 00:00:00+00:00,142.1648050853,151.194739424,131.4867387415,133.399287582,281164060,139.19132308583625,#000000
2022-02-11 00:00:00+00:00,133.3316923008,142.9903571899,132.4952006951,142.8536805253,179319440,138.08297736329737,#000000
2022-02-18 00:00:00+00:00,129.6909905707,137.1249804378,129.5314706772,132.5717424106,141806740,136.80639042589672,#000000
2022-02-25 00:00:00+00:00,133.7188740957,134.5831990525,124.0219333785,129.2113622882,134283740,135.8018348847475,#000000
2022-03-04 00:00:00+00:00,131.3356434069,135.9001092091,129.6323417237,132.4912245021,122533880,135.33735089410197,#000000
2022-03-11 00:00:00+00:00,129.6989429568,133.4012756785,125.1116587769,131.1189408875,157549900,134.48379951752634,#000000
2022-03-18 00:00:00+00:00,135.9872922112,136.0986256156,125.6606219251,129.7958626615,162089480,134.2365993252799,#000000
2022-03-25 00:00:00+00:00,140.6791999698,141.114593105,133.810326535,136.0330184309,120712940,134.608145221547,#000000
2022-04-01 00:00:00+00:00,139.8625893292,143.3044814084,137.9709155019,139.8471815812,126494220,136.85175675637421,#000000
2022-04-08 00:00:00+00:00,133.2129035344,143.1864381783,132.9564440552,139.9863483368,97073580,136.33723223841596,#000000
2022-04-15 00:00:00+00:00,126.4956224584,132.147959759,126.3549646305,132.1090129484,90216880,135.1041921911182,#000000
2022-04-22 00:00:00+00:00,118.9020878466,131.1383248285,118.4314059984,126.6516880343,136743820,133.20729698966008,#000000
2022-04-29 00:00:00+00:00,114.2822485864,122.544280649,112.4509631906,118.7186859438,212926040,130.3542286827262,#000000
2022-05-06 00:00:00+00:00,114.9716210505,122.4100841348,112.7245749725,113.2285574372,163030420,128.93134088792192,#000000
2022-05-13 00:00:00+00:00,115.8220293318,117.3821880663,109.4581324101,112.6291463401,173382820,127.50692437573177,#000000
