date,Close,High,Low,Open,Volume,aVWAP_OB_bull_70,aVWAP_OB_bull_52,aVWAP_OB_bear_45,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,31.25,34.4899,31.15,33.93,13182859,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,13182859.0,False,False,False,False
2022-01-07 00:00:00+00:00,29.94,32.36,28.35,31.49,16278487,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-16278487,-1205813.8518518517,False,False,False,False,13412164.777777776,False,False,False,False
2022-01-14 00:00:00+00:00,27.98,31.48,27.33,29.34,14077678,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-30356165,-3365099.122085048,False,False,False,False,13461462.05349794,False,False,False,False
2022-01-21 00:00:00+00:00,25.45,28.03,25.26,27.41,11782445,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-42138610,-6237211.038967636,False,False,False,False,13337090.4199055,False,False,False,False
2022-01-28 00:00:00+00:00,23.33,25.6,21.67,24.5,20714854,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-62853464,-10431007.554599663,False,False,False,False,13883591.425838426,False,False,False,False
2022-02-04 00:00:00+00:00,25.18,26.94,23.57,23.79,13056319,,,,0.0,0.0,0.0,0.0,,#000000,,,,4.769157755397537,-45.45439651438672,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-49797145,-13347017.735740429,False,False,False,False,13822311.98688743,False,False,False,False
2022-02-11 00:00:00+00:00,25.0,27.62,24.56,25.09,12274821,,,,0.0,0.0,0.0,0.0,,#000000,,,,8.374138691977118,-42.186064761547506,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-62071966,-16956273.162722617,False,False,False,False,13707683.024895769,False,False,False,False
2022-02-18 00:00:00+00:00,21.19,25.8325,20.7327,25.05,18263246,,,,0.0,0.0,0.0,0.0,,#000000,,,,9.630818171263916,-41.237285985192166,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-80335212,-21651009.372891314,False,False,False,False,14045132.134162748,False,False,False,False
2022-02-25 00:00:00+00:00,21.61,21.91,18.66,20.75,13408765,,,,0.0,0.0,0.0,0.0,,#000000,,,,11.328430618421427,-39.84142146973244,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-66926447,-25004745.493417885,False,False,False,False,13997993.827928472,False,False,False,False
2022-03-04 00:00:00+00:00,20.05,26.47,19.831,21.77,31395819,,,,0.0,0.0,0.0,0.0,,#000000,,,,12.14815491050665,-39.27286857516742,True,False,False,True,True,,,,1,,,False,False,False,False,,,False,False,False,False,-98322266,-30435672.93834989,False,False,False,False,15286721.618452288,False,False,False,False
