date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color
2022-01-03 00:00:00+00:00,168.15,169.65,152.1,152.7,114220,,#000000
2022-01-04 00:00:00+00:00,171.9,172.95,167.25,168.15,65829,,#000000
2022-01-05 00:00:00+00:00,164.85,172.35,163.8,172.35,62940,,#000000
2022-01-06 00:00:00+00:00,170.25,173.7,165.3,168.9,42234,,#000000
2022-01-07 00:00:00+00:00,168.0,173.25,166.35,169.5,34381,,#000000
2022-01-10 00:00:00+00:00,162.9,166.125,161.55,166.05,50408,,#000000
2022-01-11 00:00:00+00:00,165.0,166.275,161.025,165.0,42521,,#000000
2022-01-12 00:00:00+00:00,161.4,166.5,161.1,165.6,26809,,#000000
2022-01-13 00:00:00+00:00,160.8,165.0,160.5,162.0,23552,,#000000
2022-01-14 00:00:00+00:00,159.0,161.25,154.275,157.5,31734,,#000000
2022-01-18 00:00:00+00:00,152.55,157.5,152.55,156.75,25066,,#000000
2022-01-19 00:00:00+00:00,155.25,157.05,152.55,153.0,24054,,#000000
2022-01-20 00:00:00+00:00,152.55,161.25,152.25,156.75,46732,,#000000
2022-01-21 00:00:00+00:00,146.85,151.95,145.95,150.9,44710,,#000000
2022-01-24 00:00:00+00:00,156.45,157.35,141.6,142.8,51427,,#000000
2022-01-25 00:00:00+00:00,158.55,161.25,152.55,153.9,36421,,#000000
2022-01-26 00:00:00+00:00,149.55,161.55,149.4,161.25,48620,,#000000
2022-01-27 00:00:00+00:00,146.7,153.6,144.9,151.95,28808,,#000000
2022-01-28 00:00:00+00:00,147.3,147.45,140.1,145.8,36512,,#000000
2022-01-31 00:00:00+00:00,153.0,153.0,144.6,146.1,31169,,#000000
2022-02-01 00:00:00+00:00,152.7,153.6,148.35,152.1,29076,,#000000
2022-02-02 00:00:00+00:00,150.15,155.25,147.6,151.65,38276,,#000000
2022-02-03 00:00:00+00:00,144.45,148.35,143.25,147.15,31207,,#000000
2022-02-04 00:00:00+00:00,148.95,150.15,141.6,143.4,47625,,#000000
2022-02-07 00:00:00+00:00,149.1,153.6,148.65,149.7,44845,,#000000
2022-02-08 00:00:00+00:00,157.95,159.6,148.875,149.4,74491,,#000000
2022-02-09 00:00:00+00:00,121.95,130.8,117.0,123.0,456416,123.25,#000000
2022-02-10 00:00:00+00:00,120.75,125.7,119.4,120.3,117161,122.98445709991859,#000000
2022-02-11 00:00:00+00:00,129.45,131.55,126.3,127.05,137715,124.16850245749988,#000000
2022-02-14 00:00:00+00:00,131.7,134.85,128.7,128.7,76793,124.90726279525686,#000000
2022-02-15 00:00:00+00:00,135.45,135.45,129.15,132.75,80765,125.6920676181159,#000000
2022-02-16 00:00:00+00:00,136.2,139.65,133.95,136.5,55905,126.35149412547108,#000000
2022-02-17 00:00:00+00:00,133.5,136.95,132.375,135.6,30327,126.60309154083104,#000000
2022-02-18 00:00:00+00:00,128.4,133.8,127.65,131.85,45317,126.75470289854348,#000000
2022-02-22 00:00:00+00:00,123.45,129.6,122.85,126.9,40813,126.69768205226218,#000000
2022-02-23 00:00:00+00:00,121.2,126.4275,120.15,124.2,35069,126.56392086035153,#000000
2022-02-24 00:00:00+00:00,124.8,125.1,117.3,118.05,47668,126.38732407564756,#000000
2022-02-25 00:00:00+00:00,125.55,126.15,122.8875,123.15,27192,126.35130501606666,#000000
2022-02-28 00:00:00+00:00,132.45,132.45,125.1,125.1,30716,126.44613316797209,#000000
2022-03-01 00:00:00+00:00,129.6,133.2,128.175,130.65,35255,126.55848885106711,#000000
2022-03-02 00:00:00+00:00,128.85,130.77,127.35,130.05,48777,126.65217938737123,#000000
2022-03-03 00:00:00+00:00,130.8,133.65,129.15,130.2,50791,126.82761180582979,#000000
2022-03-04 00:00:00+00:00,125.25,131.1,123.3,130.8,19898,126.82347892341485,#000000
2022-03-07 00:00:00+00:00,119.85,125.55,119.55,125.55,33539,126.69683768794926,#000000
2022-03-08 00:00:00+00:00,123.75,125.55,119.25,119.55,69263,126.51172776646888,#000000
2022-03-09 00:00:00+00:00,129.15,131.85,125.1,126.9,37590,126.56742094456894,#000000
2022-03-10 00:00:00+00:00,126.15,129.675,125.25,127.2,43463,126.58050127003293,#000000
2022-03-11 00:00:00+00:00,118.95,127.2,118.8,126.45,32211,126.47821357471511,#000000
2022-03-14 00:00:00+00:00,117.45,120.6,115.95,120.6,28469,122.16277882652915,#000000
2022-03-15 00:00:00+00:00,119.85,120.7485,117.3,117.9,25461,122.41385908241645,#000000
2022-03-16 00:00:00+00:00,124.5,125.7,120.0,120.9,38173,123.37310571547877,#000000
2022-03-17 00:00:00+00:00,128.25,128.4,123.6015,124.2,30586,124.14558231006127,#000000
2022-03-18 00:00:00+00:00,128.85,130.8,126.0,127.05,40475,124.96989664401029,#000000
2022-03-21 00:00:00+00:00,123.45,128.25,122.25,128.25,22479,125.01586102153277,#000000
2022-03-22 00:00:00+00:00,125.1,125.85,122.7,124.2,38858,125.05968189950306,#000000
2022-03-23 00:00:00+00:00,122.55,126.3,121.65,123.75,21325,125.02398767537233,#000000
2022-03-24 00:00:00+00:00,122.4,123.6,121.2,123.15,19414,124.94846936437233,#000000
2022-03-25 00:00:00+00:00,121.35,123.9,120.675,122.4,25788,124.83847623191195,#000000
2022-03-28 00:00:00+00:00,126.3,126.6,120.45,121.8,44263,124.87302174848841,#000000
2022-03-29 00:00:00+00:00,130.05,133.95,127.5,127.5,48150,127.06849180313975,#000000
2022-03-30 00:00:00+00:00,122.7,129.6,122.271,129.3,41247,126.20026999698295,#000000
2022-03-31 00:00:00+00:00,122.55,123.45,118.8,123.15,42891,125.39561040676604,#000000
2022-04-01 00:00:00+00:00,121.8,124.95,121.35,122.85,28711,125.16096723579221,#000000
2022-04-04 00:00:00+00:00,124.65,125.85,121.5,121.8,27211,125.08585582464616,#000000
2022-04-05 00:00:00+00:00,123.15,126.75,121.8,125.7,19047,125.03886422033729,#000000
2022-04-06 00:00:00+00:00,121.05,121.65,118.4955,120.75,26601,124.78198231625936,#000000
2022-04-07 00:00:00+00:00,116.85,121.8,114.0,120.3,33589,122.63388478493691,#000000
