date,Close,High,Low,Open,Volume,aVWAP_OB_bull_171,aVWAP_OB_bull_95,aVWAP_OB_bull_69,aVWAP_OB_bull_63,aVWAP_OB_bull_52,aVWAP_OB_bear_164,aVWAP_OB_bear_88,aVWAP_OB_bear_33,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,72.2042047891,73.6465784304,72.1992707858,72.5742550392,611526,,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,611526.0,False,False,False,False
2022-01-07 00:00:00+00:00,68.4724536009,72.8537827747,68.1385860419,72.4163669325,780408,,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-780408,-57808.0,False,False,False,False,624035.7777777778,False,False,False,False
2022-01-14 00:00:00+00:00,68.2454894475,70.3746270128,66.2982027984,67.5284142963,832974,,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-1613382,-173035.7037037037,False,False,False,False,639512.683127572,False,False,False,False
2022-01-21 00:00:00+00:00,62.7243397168,67.5711756585,62.7046037035,67.1863233985,1562652,,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-3176034,-395480.02194787376,False,False,False,False,707893.3732662703,False,False,False,False
2022-01-28 00:00:00+00:00,63.2720140869,63.7680787821,59.5930567343,61.3033467566,1514256,,,,,,,,,0.0,0.0,0.0,0.0,62.21104986776667,#000000,,62.21104986776667,,1.3624995711375933,-48.70136759625948,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-1661778,-489279.8721739572,False,False,False,False,767623.9382095095,False,False,False,False
2022-02-04 00:00:00+00:00,64.4216368637,67.0942220029,63.0203799168,63.471018888,1129920,,,,,,,,,0.0,0.0,0.0,0.0,63.33677656250744,#000000,,63.33677656250744,,4.950074454378806,-45.32986066121801,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-531858,-492433.80756847886,False,False,False,False,794460.6835273235,False,False,False,False
2022-02-11 00:00:00+00:00,62.5401369257,66.2028120672,62.2424520579,64.5236062659,1242336,,,,,,,,,0.0,0.0,0.0,0.0,63.4406714565383,#000000,,63.4406714565383,,7.05860074000689,-43.481224581887965,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-1774194,-587379.0070078508,False,False,False,False,827636.6328956699,False,False,False,False
2022-02-18 00:00:00+00:00,60.9777025366,64.2423680759,60.6405456421,62.3411321245,1313394,,,,,,,,,0.0,0.0,0.0,0.0,63.065050979560965,#000000,,63.065050979560965,,8.265742337531735,-42.52121141528943,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-3087588,-772579.6731554174,False,False,False,False,863618.6600885831,False,False,False,False
2022-02-25 00:00:00+00:00,62.0730512767,62.0730512767,56.8479417461,60.3593074521,1815720,,,,,,,,,0.0,0.0,0.0,0.0,62.357539063620884,#000000,,62.357539063620884,,10.993763294672062,-40.097977993055174,False,False,False,True,True,,,,1,,,False,False,False,False,,,False,False,False,False,-1271868,-809563.9936624235,False,False,False,False,934144.6852672066,False,False,False,False
2022-03-04 00:00:00+00:00,59.6224962875,62.4003401645,59.2244866853,61.4234075044,863340,,,,,,,,,0.0,0.0,0.0,0.0,62.14476963134585,#000000,,62.14476963134585,,12.29074889354125,-39.07808309292471,True,False,False,True,True,,,,1,,,False,False,False,False,,,False,False,False,False,-2135208,-907759.8459837254,False,False,False,False,928899.8937659321,False,False,False,False
