date,Close,High,Low,Open,Volume,color,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL
2024-09-10 00:00:00+00:00,2.305,2.32,2.2805,2.2963,1604,#000000,,,False,False,False,False,False
2024-09-11 00:00:00+00:00,2.35,2.35,2.28,2.28,6407,"rgba(38, 166, 154, 0.5)",100.0,,False,False,True,False,False
2024-09-12 00:00:00+00:00,2.44,2.49,2.35,2.35,4089,"rgba(38, 166, 154, 0.5)",100.0,50.0,False,False,True,False,True
2024-09-13 00:00:00+00:00,2.41,2.49,2.36,2.4484,13832,"rgba(38, 166, 154, 0.5)",93.28896283971162,43.84821593640231,False,False,True,False,False
2024-09-16 00:00:00+00:00,2.38,2.435,2.28,2.435,9769,"rgba(38, 166, 154, 0.5)",83.98803761579465,35.69520321227223,False,False,True,False,False
2024-09-17 00:00:00+00:00,2.476,2.476,2.2801,2.32,11157,"rgba(38, 166, 154, 0.5)",82.28235534719762,34.88140132434147,False,False,True,False,False
2024-09-18 00:00:00+00:00,2.46,2.46,2.3602,2.42,6841,"rgba(38, 166, 154, 0.5)",79.3926782731583,32.77969632701411,False,False,True,False,False
2024-09-19 00:00:00+00:00,2.485,2.51,2.45,2.45,11307,"rgba(38, 166, 154, 0.5)",78.37038157914098,32.29571002038554,False,False,True,False,False
2024-09-20 00:00:00+00:00,2.455,2.53,2.442,2.5,4540,"rgba(38, 166, 154, 0.5)",74.64906565362934,29.149293512096378,False,False,True,False,False
2024-09-23 00:00:00+00:00,2.48,2.5,2.48,2.48,2953,"rgba(38, 166, 154, 0.5)",73.24722310703032,28.138500554716586,False,False,True,False,False
2024-09-24 00:00:00+00:00,2.54,2.58,2.52,2.58,7375,"rgba(38, 166, 154, 0.5)",74.34935809030236,28.138500554716586,False,False,True,False,False
2024-09-25 00:00:00+00:00,2.55,2.58,2.55,2.55,7247,"rgba(38, 166, 154, 0.5)",75.36950266027574,28.138500554716586,False,False,True,False,False
2024-09-26 00:00:00+00:00,2.62,2.62,2.57,2.57,5460,"rgba(38, 166, 154, 0.5)",77.70218281093202,28.138500554716586,False,False,True,False,True
2024-09-27 00:00:00+00:00,2.87,2.87,2.61,2.62,27965,"rgba(38, 166, 154, 0.5)",81.97855336365309,26.348488518163947,False,False,True,False,True
2024-09-30 00:00:00+00:00,2.895,2.96,2.8902,2.9,20155,"rgba(38, 166, 154, 0.5)",84.98242266690379,29.056349658654256,False,False,True,False,True
2024-10-01 00:00:00+00:00,2.93,2.99,2.8701,2.9,33131,"rgba(38, 166, 154, 0.5)",87.1935729142555,31.042289300372218,False,False,True,False,True
2024-10-02 00:00:00+00:00,3.0999,3.1,2.92,3.0,32511,"rgba(38, 166, 154, 0.5)",89.42368450297803,33.101030992063414,False,False,True,False,True
2024-10-03 00:00:00+00:00,3.0,3.16,2.9202,3.16,15370,"rgba(38, 166, 154, 0.5)",86.25026640565116,33.101030992063414,False,False,True,False,True
2024-10-04 00:00:00+00:00,3.14,3.2,2.9671,3.03,25594,"rgba(38, 166, 154, 0.5)",85.38531337913793,33.101030992063414,False,False,True,False,False
2024-10-07 00:00:00+00:00,3.25,3.3,3.11,3.1731,26619,"rgba(38, 166, 154, 0.5)",85.5656531483923,33.101030992063414,False,False,True,False,False
2024-10-08 00:00:00+00:00,3.02,3.08,2.85,2.98,33691,"rgba(38, 166, 154, 0.5)",78.74952227701428,35.46224625378113,False,False,True,False,False
2024-10-09 00:00:00+00:00,2.99,2.9937,2.85,2.9886,7160,"rgba(38, 166, 154, 0.5)",73.47655945874551,30.643813813153116,False,False,True,False,False
2024-10-10 00:00:00+00:00,2.9501,3.02,2.83,2.83,8470,"rgba(38, 166, 154, 0.5)",68.9789704222668,26.637579559897944,False,False,True,False,False
2024-10-11 00:00:00+00:00,2.81,3.0,2.81,2.99,25622,"rgba(38, 166, 154, 0.5)",62.91815384336863,21.210310485990107,False,False,True,False,False
2024-10-14 00:00:00+00:00,3.0,3.033,2.79,2.79,15542,"rgba(38, 166, 154, 0.5)",61.92806651147886,20.512356292372715,False,False,True,False,False
2024-10-15 00:00:00+00:00,2.99,3.03,2.91,3.03,10492,"rgba(38, 166, 154, 0.5)",61.05513034181186,19.676582544508975,False,False,True,False,False
