date,Open,High,Low,Close,Volume,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,Peaks_Valleys_avg
2023-11-20 17:00:00+00:00,30.01,30.075,29.91,30.0,46075.0,0,,,
2023-11-21 17:00:00+00:00,29.26,29.565,29.135,29.485,24504.0,0,,,
2023-11-22 17:00:00+00:00,29.44,29.525,29.17,29.22,9872.0,0,,,
2023-11-23 17:00:00+00:00,29.22,29.22,29.22,29.22,0.0,0,,,
2023-11-24 17:00:00+00:00,29.12,29.37,29.08,29.345,3535.0,0,,,
2023-11-27 17:00:00+00:00,28.715,28.765,28.505,28.51,50068.0,0,,,
2023-11-28 17:00:00+00:00,27.805,27.955,27.41,27.46,47600.0,0,,,
2023-11-29 17:00:00+00:00,27.07,27.495,26.98,27.495,33908.0,0,,,
2023-11-30 17:00:00+00:00,28.075,28.87,27.97,28.69,79218.0,0,,,
2023-12-01 17:00:00+00:00,29.745,29.975,29.48,29.575,33642.0,0,,,
2023-12-04 17:00:00+00:00,29.605,29.68,29.055,29.055,64035.0,0,,,
2023-12-05 17:00:00+00:00,28.84,29.28,28.77,28.865,15087.0,0,,,
2023-12-06 17:00:00+00:00,29.11,29.275,28.995,29.15,18971.0,0,,,
2023-12-07 17:00:00+00:00,28.72,28.95,28.515,28.64,15750.0,0,,,
2023-12-08 17:00:00+00:00,28.295,28.5,28.225,28.43,21912.0,0,,,
2023-12-11 17:00:00+00:00,28.85,28.88,28.62,28.845,20276.0,0,,,
2023-12-12 17:00:00+00:00,29.37,30.135,29.315,30.125,45733.0,0,,,
2023-12-13 17:00:00+00:00,30.825,31.96,30.82,31.785,103053.0,0,,,
2023-12-14 17:00:00+00:00,32.925,33.18,32.265,32.395,78355.0,0,,,
2023-12-15 17:00:00+00:00,32.76,32.94,32.495,32.825,120242.0,0,,,
2023-12-18 17:00:00+00:00,32.72,32.98,32.72,32.85,71471.0,0,,,
2023-12-19 17:00:00+00:00,32.79,32.92,32.68,32.9,32759.0,0,,,
2023-12-20 17:00:00+00:00,33.245,33.27,32.78,32.795,32819.0,0,,,
2023-12-21 17:00:00+00:00,33.23,33.445,33.02,33.35,40237.0,0,,,
2023-12-22 17:00:00+00:00,33.675,33.73,33.32,33.32,30996.0,0,,,
2023-12-25 17:00:00+00:00,33.32,33.32,33.32,33.32,0.0,0,,,
2023-12-26 17:00:00+00:00,33.94,34.3,33.92,34.14,20457.0,0,,,
2023-12-27 17:00:00+00:00,34.22,34.425,34.205,34.41,16559.0,0,,,
2023-12-28 17:00:00+00:00,34.55,34.67,34.45,34.58,12467.0,0,,,34.56666666666667
2023-12-29 17:00:00+00:00,34.61,34.65,34.44,34.51,13150.0,0,,,34.549555633628714
