date,Close,High,Low,Open,Volume,aVWAP_OB_bull_818,aVWAP_OB_bear_736,aVWAP_OB_bear_635,aVWAP_OB_bear_520,aVWAP_OB_bear_428,Peaks_Valleys_avg
2022-01-03 00:00:00+00:00,39.73,39.73,39.73,39.73,10,,,,,,
2022-01-04 00:00:00+00:00,39.37,39.855258,39.26,39.855258,1464,,,,,,
2022-01-05 00:00:00+00:00,39.26,39.76,39.26,39.76,904,,,,,,
2022-01-06 00:00:00+00:00,39.83,39.83,38.83,39.41,1002,,,,,,
2022-01-07 00:00:00+00:00,40.69,40.69,40.58,40.64,612,,,,,,
2022-01-10 00:00:00+00:00,38.74,40.1202,36.8,39.0,7848,,,,,,
2022-01-11 00:00:00+00:00,39.28,39.76,38.61,38.62,703,,,,,,
2022-01-12 00:00:00+00:00,39.28,39.28,39.28,39.28,0,,,,,,
2022-01-13 00:00:00+00:00,40.06,40.1,40.06,40.1,500,,,,,,
2022-01-14 00:00:00+00:00,39.0025,39.62,39.0025,39.62,303,,,,,,
2022-01-18 00:00:00+00:00,39.97,40.03,39.32,39.75,1700,,,,,,
2022-01-19 00:00:00+00:00,40.48,40.55,40.48,40.55,833,,,,,,
2022-01-20 00:00:00+00:00,40.75,40.75,40.75,40.75,440,,,,,,
2022-01-21 00:00:00+00:00,40.63,40.84,40.53,40.7599,4674,,,,,,
2022-01-24 00:00:00+00:00,39.56,40.01,38.5,39.71,2442,,,,,,
2022-01-25 00:00:00+00:00,39.67,39.67,38.64,39.2239,843,,,,,,
2022-01-26 00:00:00+00:00,39.57,41.109,39.57,40.46,7775,,,,,,
2022-01-27 00:00:00+00:00,39.6104,40.43,39.6104,40.43,644,,,,,,
2022-01-28 00:00:00+00:00,40.64,40.64,39.241,39.241,8190,,,,,,
2022-01-31 00:00:00+00:00,40.89,40.89,40.62,40.7501,1765,,,,,,
2022-02-01 00:00:00+00:00,41.71,41.71,40.65,40.85,2029,,,,,,
2022-02-02 00:00:00+00:00,40.25,42.17,39.8,42.17,3481,,,,,,40.74
2022-02-03 00:00:00+00:00,39.24,39.81,38.97,39.42,4781,,,,,,39.929857177438876
2022-02-04 00:00:00+00:00,37.74,38.345,37.27,38.25,3768,,,,,,39.25805153782211
2022-02-07 00:00:00+00:00,36.91,37.77,36.6444,37.55,901,,,,,,39.1082505709793
2022-02-08 00:00:00+00:00,36.94,37.1,36.4555,36.5656,8814,,,,,,37.508686662834364
2022-02-09 00:00:00+00:00,38.73,39.085,37.93,38.0,3137,,,,,,37.76331307160331
2022-02-10 00:00:00+00:00,38.92,39.19,38.68,38.68,1084,,,,,,37.845954269349676
2022-02-11 00:00:00+00:00,38.37,38.77,38.37,38.66,746,,,,,,37.87841021256281
2022-02-14 00:00:00+00:00,38.43,38.47,38.0,38.22501,877,,,,,,37.903229702850666
2022-02-15 00:00:00+00:00,38.96,38.96,38.846,38.846,530,,,,,,37.93356575210463
2022-02-16 00:00:00+00:00,38.56,38.56,38.56,38.56,470,,,,,,37.95049772546866
2022-02-17 00:00:00+00:00,38.56,38.56,38.56,38.56,41,,,,,,37.951929598612665
2022-02-18 00:00:00+00:00,38.0,38.0,37.865,37.91,1301,,,,,,37.95768993320486
2022-02-22 00:00:00+00:00,37.56,37.84,37.56,37.8,13422,,,,,,37.864294746448444
2022-02-23 00:00:00+00:00,37.59,37.64,37.59,37.64,307,,,,,,37.86242463096252
2022-02-24 00:00:00+00:00,36.4394,36.61,36.4394,36.5279,3198,,,,,,37.75423413838389
2022-02-25 00:00:00+00:00,38.56,38.56,38.222,38.33,533,,,,,,37.76394923298014
2022-02-28 00:00:00+00:00,38.51,38.51,38.42,38.42,415,,,,,,37.77165938517612
2022-03-01 00:00:00+00:00,36.37,37.85,36.37,37.85,2796,,,,,,37.71483843635882
2022-03-02 00:00:00+00:00,37.55,37.55,37.25,37.25,313,,,,,,37.71314680491248
2022-03-03 00:00:00+00:00,37.55,37.55,37.55,37.55,69,,,,,,37.71293515516827
2022-03-04 00:00:00+00:00,35.2,35.2,35.2,35.2,422,,,,,,37.689119022677914
2022-03-07 00:00:00+00:00,32.68,33.84,32.68,33.8,1465,,,,,,37.54121734581576
2022-03-08 00:00:00+00:00,31.7829,31.7829,31.3481,31.3481,449,,,,,,35.535217927432114
2022-03-09 00:00:00+00:00,32.59,32.6649,32.17,32.17,1219,,,,,,35.653401213583784
2022-03-10 00:00:00+00:00,32.1,32.2975,32.1,32.2975,308,,,,,,35.626757346308544
2022-03-11 00:00:00+00:00,31.75,32.15,31.75,32.15,1010,,,,,,35.51192788131589
2022-03-14 00:00:00+00:00,31.78,31.78,31.53,31.64,775,,,,,,35.42565039309522
2022-03-15 00:00:00+00:00,33.13,33.13,32.15,32.38,3138,,,,,,35.37199364670539
2022-03-16 00:00:00+00:00,33.86,34.748,33.86,34.16,1850,,,,,,35.436288680402306
2022-03-17 00:00:00+00:00,34.41,34.41,34.14,34.18,870,,,,,,35.457970579820284
2022-03-18 00:00:00+00:00,35.14,35.15,35.13,35.13,570,,,,,,35.48911250909931
2022-03-21 00:00:00+00:00,35.14,35.14,35.14,35.14,570,,,,,,35.516039380623404
2022-03-22 00:00:00+00:00,34.9934,34.9934,34.9934,34.9934,107,,,,,,35.520014163282376
2022-03-23 00:00:00+00:00,34.58,34.58,34.58,34.58,46,,,,,,35.520883717040505
2022-03-24 00:00:00+00:00,34.58,34.58,34.58,34.58,9,,,,,,35.5210520883027
2022-03-25 00:00:00+00:00,34.17,34.17,34.17,34.17,172,,,,,,35.52121454923462
2022-03-28 00:00:00+00:00,34.82,34.82,34.26,34.26,8299,,,,,,35.55631612806956
2022-03-29 00:00:00+00:00,36.35,36.35,36.121,36.224262,1831,,,,,,35.624976404481
2022-03-30 00:00:00+00:00,36.13,36.44,36.13,36.44,465,,,,,,35.78836715236284
2022-03-31 00:00:00+00:00,35.95,36.21,35.95,36.08,737,,,,,,35.77245877313151
2022-04-01 00:00:00+00:00,34.92,35.94,34.92,35.94,1295,,,,,,35.666733257145246
2022-04-04 00:00:00+00:00,34.12,34.15,34.12,34.15,510,,,,,,35.5929127082057
2022-04-05 00:00:00+00:00,34.12,34.12,34.12,34.12,72,,,,,,35.584173664379136
2022-04-06 00:00:00+00:00,33.981,33.981,33.981,33.981,663,,,,,,35.50972616400544
2022-04-07 00:00:00+00:00,32.8,32.8,32.8,32.8,384,,,,,,35.44069937475772
2022-04-08 00:00:00+00:00,33.14,33.32,32.91,32.91,653,,,,,,35.35846821939376
2022-04-11 00:00:00+00:00,32.42,32.42,32.42,32.42,338,,,,,,35.30675003981608
2022-04-12 00:00:00+00:00,32.06,32.63,32.06,32.63,365,,,,,,35.252458266574294
2022-04-13 00:00:00+00:00,33.1012,33.1012,33.1012,33.1012,3378,,,,,,35.03371545571192
2022-04-14 00:00:00+00:00,32.91,32.91,32.91,32.91,119,,,,,,35.02692378257463
2022-04-18 00:00:00+00:00,33.56,33.56,31.06,31.06,505,,,,,,34.99538351476687
2022-04-19 00:00:00+00:00,32.9,32.9,32.9,32.9,247,,,,,,34.98237245925185
