date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color
2021-12-31 00:00:00+00:00,2.94,3.2,2.84,3.2,2889381,,#000000
2022-01-07 00:00:00+00:00,2.59,3.03,2.48,3.01,2505488,,#000000
2022-01-14 00:00:00+00:00,2.52,2.77,2.42,2.53,3390544,,#000000
2022-01-21 00:00:00+00:00,2.2,2.66,2.1699,2.65,2240319,,#000000
2022-01-28 00:00:00+00:00,2.03,2.24,1.84,2.14,2836446,2.0366666666666666,#000000
2022-02-04 00:00:00+00:00,2.23,2.45,2.04,2.07,2283841,2.127360997537833,#000000
2022-02-11 00:00:00+00:00,3.23,3.3599,2.2193,2.22,6821933,2.589520451071911,#000000
2022-02-18 00:00:00+00:00,3.01,3.77,3.0,3.22,4478552,3.01619251400604,#000000
2022-02-25 00:00:00+00:00,2.81,2.99,2.55,2.81,1814057,2.948029469466685,#000000
2022-03-04 00:00:00+00:00,2.58,3.0,2.54,2.91,1183121,2.913082273155881,#000000
2022-03-11 00:00:00+00:00,2.5,2.71,2.42,2.58,2477265,2.8363981223204755,#000000
2022-03-18 00:00:00+00:00,2.92,2.9798,2.22,2.47,1305688,2.7838375318939286,#000000
2022-03-25 00:00:00+00:00,2.94,3.17,2.75,2.9,1257412,2.829490874078843,#000000
2022-04-01 00:00:00+00:00,2.47,3.24,2.38,2.97,3266549,2.765343043170618,#000000
2022-04-08 00:00:00+00:00,2.45,2.71,2.37,2.49,1352602,2.7304389150710326,#000000
2022-04-15 00:00:00+00:00,2.16,2.45,2.14,2.42,746164,2.6968759934731192,#000000
2022-04-22 00:00:00+00:00,1.98,2.32,1.93,2.24,918864,2.649110416799655,#000000
2022-04-29 00:00:00+00:00,1.95,2.11,1.87,1.96,2911042,2.5253349518508523,#000000
2022-05-06 00:00:00+00:00,1.825,2.06,1.75,1.93,1625686,2.4680101994748433,#000000
2022-05-13 00:00:00+00:00,1.85,1.92,1.56,1.77,2719601,2.260095322737266,#000000
2022-05-20 00:00:00+00:00,2.11,2.57,1.76,1.85,7348393,2.274352752426564,#000000
2022-05-27 00:00:00+00:00,2.23,2.31,1.82,2.13,2973482,2.2642448041620407,#000000
2022-06-03 00:00:00+00:00,2.48,2.58,2.22,2.49,1071756,2.2735671309815415,#000000
2022-06-10 00:00:00+00:00,2.19,2.62,2.16,2.5,1039519,2.2852129601523585,#000000
2022-06-17 00:00:00+00:00,2.09,2.19,1.95,2.1,932583,2.2615923119595425,#000000
2022-06-24 00:00:00+00:00,2.29,2.35,2.11,2.19,744444,2.2641115187717595,#000000
2022-07-01 00:00:00+00:00,1.98,2.31,1.8,2.26,981122,2.2503817378004056,#000000
2022-07-08 00:00:00+00:00,1.94,2.0656,1.8,1.96,651389,2.2394826588957075,#000000
2022-07-15 00:00:00+00:00,1.71,1.92,1.65,1.9,545086,2.2259300161005693,#000000
2022-07-22 00:00:00+00:00,1.77,2.0,1.73,1.82,685407,2.21394395041646,#000000
2022-07-29 00:00:00+00:00,1.62,1.83,1.55,1.78,1363327,2.1829655376670476,#000000
2022-08-05 00:00:00+00:00,1.91,1.9999,1.58,1.62,683625,2.1748611284519126,#000000
2022-08-12 00:00:00+00:00,1.93,2.1,1.78,1.95,1029399,2.1353301390819994,#000000
2022-08-19 00:00:00+00:00,1.58,2.09,1.54,1.89,2795607,2.083967824224254,#000000
2022-08-26 00:00:00+00:00,1.405,1.59,1.38,1.59,2065055,2.0328193445283738,#000000
2022-09-02 00:00:00+00:00,1.27,1.5,1.22,1.4,3105124,1.9631595241524544,#000000
2022-09-09 00:00:00+00:00,1.27,1.31,1.19,1.25,1200774,1.9384088959734618,#000000
2022-09-16 00:00:00+00:00,1.21,1.34,1.1116,1.3,1405496,1.9107270663285791,#000000
2022-09-23 00:00:00+00:00,0.9679,1.22,0.92,1.19,2434408,1.8551815344696063,#000000
2022-09-30 00:00:00+00:00,0.8689,1.02,0.7845,0.985,1642110,1.8158080520363753,#000000
2022-10-07 00:00:00+00:00,0.7723,0.9298,0.7157,0.9201,2086256,1.7665887615407552,#000000
2022-10-14 00:00:00+00:00,0.6785,0.8538,0.6651,0.8,1087139,1.7411770096531651,#000000
2022-10-21 00:00:00+00:00,0.732599,0.780299,0.6302,0.6923,967707,1.7193815632940077,#000000
2022-10-28 00:00:00+00:00,0.6762,0.74,0.66,0.74,813305,1.7014740340035444,#000000
2022-11-04 00:00:00+00:00,0.5937,0.699799,0.5568,0.681,1055074,1.6774435648779893,#000000
2022-11-11 00:00:00+00:00,0.659,0.678799,0.5401,0.5713,902080,1.6580807261677148,#000000
2022-11-18 00:00:00+00:00,0.5811,0.749,0.58,0.6216,1677747,1.624624537265612,#000000
2022-11-25 00:00:00+00:00,0.6132,0.6398,0.5332,0.597,766811,1.482722245811474,#000000
2022-12-02 00:00:00+00:00,0.8628,0.8705,0.571,0.63,2752012,1.4640069129683537,#000000
2022-12-09 00:00:00+00:00,0.6591,0.8916,0.65,0.8404,1363884,1.2961566706690708,#000000
2022-12-16 00:00:00+00:00,0.601,0.731,0.580144,0.657,974837,1.2777797742679293,#000000
2022-12-23 00:00:00+00:00,0.5514,0.634,0.5328,0.601,2518536,1.2347055012145713,#000000
2022-12-30 00:00:00+00:00,0.5558,0.58,0.5051,0.53,2127788,1.054409375835072,#000000
2023-01-06 00:00:00+00:00,0.57,0.59,0.5309,0.56,448499,1.0501705854668604,#000000
2023-01-13 00:00:00+00:00,0.6267,0.6595,0.5646,0.59,1627285,1.0408686139403343,#000000
2023-01-20 00:00:00+00:00,0.6852,0.7119,0.6,0.65,1316502,1.0360245928513194,#000000
2023-01-27 00:00:00+00:00,0.8299,0.85,0.666,0.67,1596623,1.0377817270657712,#000000
2023-02-03 00:00:00+00:00,0.9429,1.08,0.795,0.8351,1771900,0.9775596621214204,#000000
2023-02-10 00:00:00+00:00,0.7694,0.95,0.7107,0.95,1292929,0.9709513852194943,#000000
2023-02-17 00:00:00+00:00,0.675,0.7632,0.65,0.7576,1219431,0.959191389937753,#000000
2023-02-24 00:00:00+00:00,0.64005,0.6899,0.6268,0.65,674666,0.9524959588371876,#000000
2023-03-03 00:00:00+00:00,0.6718,0.7058,0.6,0.64,1305140,0.942225812590576,#000000
2023-03-10 00:00:00+00:00,0.6,0.79,0.583,0.6871,1926093,0.9298733309537839,#000000
2023-03-17 00:00:00+00:00,0.59,0.6695,0.565,0.58,1165358,0.9211455623239075,#000000
