date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_191,aVWAP_BoS_CHoCH_bull_401,aVWAP_BoS_CHoCH_bull_497,aVWAP_BoS_CHoCH_bull_693,aVWAP_BoS_CHoCH_bear_211,aVWAP_BoS_CHoCH_bear_252,aVWAP_BoS_CHoCH_bear_441,aVWAP_BoS_CHoCH_bear_622,aVWAP_BoS_CHoCH_bear_709,aVWAP_BoS_CHoCH_bear_794,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,32.1348534288,32.3224821657,30.7436549893,30.7985707172,2491492,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2491492.0,False,False,False,False
2022-01-04 00:00:00+00:00,34.2857194373,34.3131773012,32.2080743993,32.3545163403,3290422,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,3290422,129036.15686274509,False,False,False,False,2522822.588235294,False,False,False,False
2022-01-05 00:00:00+00:00,33.8738514782,35.3071519758,33.7502910905,34.7891136095,3694769,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,94.20035149355189,26.80140597420757,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-404347,108119.17031910803,False,False,False,False,2568781.271049596,False,False,False,False
2022-01-06 00:00:00+00:00,34.8165714734,35.5670864211,33.8555462356,35.4023392374,3277925,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,92.10061969937854,26.80140597420757,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,2873578,216568.53618894692,False,False,False,False,2596590.829047651,False,False,False,False
2022-01-07 00:00:00+00:00,34.6060611832,35.3748813735,34.2216510881,35.1826763259,2177508,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,88.66103278245464,26.80140597420757,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,696070,235372.5151619294,False,False,False,False,2580156.208300684,False,False,False,False
2022-01-10 00:00:00+00:00,34.8989450652,34.9721660357,34.0202934192,34.5328402127,2908577,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,86.95267955345942,26.80140597420757,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,3604647,367500.9263320498,False,False,False,False,2593035.4550339906,False,False,False,False
2022-01-11 00:00:00+00:00,36.033870108,36.2260751556,34.4962297275,35.5030180719,3554285,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,87.41071352240611,26.80140597420757,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,7158932,633831.5566719695,False,False,False,False,2630731.515620893,False,False,False,False
2022-01-12 00:00:00+00:00,36.0064122441,36.7386219491,35.5030180719,36.5372642802,2826089,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,87.4898208923035,26.80140597420757,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,4332843,778890.8289593433,False,False,False,False,2638392.5934396815,False,False,False,False
2022-01-13 00:00:00+00:00,35.448102344,36.6928588425,35.155218462,36.3084487474,3372925,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,83.25751608784947,26.80140597420757,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,959918,785989.9337060357,False,False,False,False,2667197.7858538115,False,False,False,False
2022-01-14 00:00:00+00:00,37.8277838853,37.832360196,35.2925077817,35.4023392374,3858750,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,83.85962169611996,26.80140597420757,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,4818668,944134.1715999168,False,False,False,False,2713925.323663466,False,False,False,False
