date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_314,aVWAP_BoS_CHoCH_bull_394,aVWAP_BoS_CHoCH_bull_556,aVWAP_BoS_CHoCH_bull_632,aVWAP_BoS_CHoCH_bull_699,aVWAP_BoS_CHoCH_bull_766,aVWAP_BoS_CHoCH_bear_115,aVWAP_BoS_CHoCH_bear_196,aVWAP_BoS_CHoCH_bear_349,aVWAP_BoS_CHoCH_bear_745,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,6.8859860194,6.898644082,6.7748482304,6.7783924879,420949,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,420949.0,False,False,False,False
2022-01-04 00:00:00+00:00,6.9366182696,6.9745924572,6.8416828006,6.9049731132,365026,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,365026,14314.745098039215,False,False,False,False,418755.9411764706,False,False,False,False
2022-01-05 00:00:00+00:00,6.7657344254,6.9049731132,6.7404183003,6.9049731132,418389,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,73.74005305773503,-55.0397877690599,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-53363,11660.715878508267,False,False,False,False,418741.55132641294,False,False,False,False
2022-01-06 00:00:00+00:00,6.7277602377,6.7973795817,6.5885848402,6.734089269,447606,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,55.091233477737816,-55.0397877690599,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-500969,-8442.41023437441,False,False,False,False,419873.49049008306,False,False,False,False
2022-01-07 00:00:00+00:00,6.7530763628,6.7910505504,6.6644699251,6.7530763628,261353,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,45.559987067934436,-55.0397877690599,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-239616,-17508.041205575413,False,False,False,False,413657.00066694256,False,False,False,False
2022-01-10 00:00:00+00:00,6.7530763628,6.7530763628,6.4935860808,6.6454828313,458456,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,39.20582279473218,-55.0397877690599,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-239616,-26218.15723672932,False,False,False,False,415413.82417019975,False,False,False,False
2022-01-11 00:00:00+00:00,6.8226957068,6.898644082,6.6834570189,6.7530763628,236859,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,41.35279756528371,-55.0397877690599,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2757,-25298.1118548968,False,False,False,False,408411.67420274095,False,False,False,False
2022-01-12 00:00:00+00:00,6.9239602071,6.9302892383,6.829024738,6.898644082,246925,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,48.11443140576495,-55.0397877690599,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,244168,-14730.813350783199,False,False,False,False,402078.86344969226,False,False,False,False
2022-01-13 00:00:00+00:00,6.9682634259,6.993579551,6.9049731132,6.9492763321,362567,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,54.20815514243945,-55.0397877690599,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,606735,9640.39501591418,False,False,False,False,400529.3786085278,False,False,False,False
2022-01-14 00:00:00+00:00,6.9176311758,6.9556053634,6.8353537693,6.9556053634,256211,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,55.2853461728229,-51.7103446701375,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,350524,23008.379525094017,False,False,False,False,394869.83434936986,False,False,False,False
2022-01-18 00:00:00+00:00,6.8543408631,6.9556053634,6.8226957068,6.9556053634,230928,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,53.00795308077331,-49.48417707296102,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,119596,26796.129347639348,False,False,False,False,388440.74280625733,False,False,False,False
