date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,9.26,9.6,8.94,9.41,542268,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,542268.0,False,False,False,False
2022-01-07 00:00:00+00:00,10.43,10.6,9.06,9.49,521351,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,521351,38618.59259259259,False,False,False,False,540718.5925925926,False,False,False,False
2022-01-14 00:00:00+00:00,10.32,11.07,9.998,10.42,473039,,"rgba(38, 166, 154, 0.5)",,,,97.38531019729024,38.23389588780607,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,48312,39336.622770919064,False,False,False,False,535705.2894375857,False,False,False,False
2022-01-21 00:00:00+00:00,8.12,9.85,8.05,9.85,607899,,"rgba(38, 166, 154, 0.5)",,,,78.32709143038593,38.377761230099495,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-559587,-5028.090026926788,False,False,False,False,541052.9717014682,False,False,False,False
2022-01-28 00:00:00+00:00,8.18,8.425,7.39,7.85,674556,7.998333333333334,"rgba(38, 166, 154, 0.5)",,7.998333333333334,,65.0900788600149,26.39609855375697,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,114969,3860.583308401123,False,False,False,False,550942.0849087669,False,False,False,False
2022-02-04 00:00:00+00:00,8.23,8.62,7.82,8.08,566489,8.101037123284545,"rgba(38, 166, 154, 0.5)",,8.101037123284545,,55.958921853808846,18.548772401228675,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,681458,54052.98454481585,False,False,False,False,552093.7082488582,False,False,False,False
2022-02-11 00:00:00+00:00,10.41,10.5637,8.25,8.26,508382,8.577676748520135,"rgba(38, 166, 154, 0.5)",,8.577676748520135,,57.80053052186722,18.548772401228675,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1189840,138185.3560600147,False,False,False,False,548855.803934128,False,False,False,False
2022-02-18 00:00:00+00:00,8.76,10.31,8.76,10.22,348892,8.693899301202533,"rgba(38, 166, 154, 0.5)",,8.693899301202533,,54.44456979524204,18.548772401228675,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,840948,190241.8482037173,False,False,False,False,534043.6703093777,False,False,False,False
2022-02-25 00:00:00+00:00,9.69,9.71,8.0891,8.76,290163,8.750891708164431,"rgba(38, 166, 154, 0.5)",,8.750891708164431,,54.15295624975769,18.548772401228675,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1131111,259935.85944788638,False,False,False,False,515978.435471646,False,False,False,False
2022-03-04 00:00:00+00:00,11.66,11.84,9.55,9.55,732205,9.282509186460116,"rgba(38, 166, 154, 0.5)",,9.282509186460116,,57.09405385973267,18.548772401228675,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1863316,378704.7587480429,False,False,False,False,531995.2180293018,False,False,False,False
2022-03-11 00:00:00+00:00,13.81,14.27,11.53,11.88,1730834,11.942320040344049,"rgba(38, 166, 154, 0.5)",,11.942320040344049,,61.39663160865193,18.548772401228675,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3594150,616885.8877296693,False,False,False,False,620798.090767872,False,False,False,False
2022-03-18 00:00:00+00:00,12.29,13.97,10.87,13.82,960349,11.934891982087898,"rgba(38, 166, 154, 0.5)",,11.934891982087898,,61.56254018641988,18.548772401228675,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2633801,766287.0071571012,False,False,False,False,645950.0099702518,False,False,False,False
2022-03-25 00:00:00+00:00,12.6,13.96,11.87,12.27,724935,12.026960650632123,"rgba(38, 166, 154, 0.5)",,12.026960650632123,,62.00582433276412,18.548772401228675,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3358736,958320.2658862048,False,False,False,False,651800.7499724554,False,False,False,False
2022-04-01 00:00:00+00:00,12.67,12.89,11.93,12.52,504894,12.049488153793263,"rgba(38, 166, 154, 0.5)",,12.049488153793263,,62.39813473542394,18.548772401228675,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3863630,1173528.3943390786,False,False,False,False,640918.7684930143,False,False,False,False
2022-04-08 00:00:00+00:00,11.77,13.17,11.0601,12.75,665911,12.020612906517247,"rgba(38, 166, 154, 0.5)",,12.020612906517247,,61.04831214613344,18.548772401228675,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3197719,1323468.4392028507,False,False,False,False,642770.0449009392,False,False,False,False
2022-04-15 00:00:00+00:00,12.17,12.37,11.415,11.67,439688,12.006451396037175,"rgba(38, 166, 154, 0.5)",,12.006451396037175,,60.58122247846998,18.548772401228675,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3637407,1494871.295558195,False,False,False,False,627726.9304638326,False,False,False,False
