date,Close,High,Low,Open,Volume,aVWAP_OB_bear_738,aVWAP_OB_bear_705,aVWAP_OB_bear_637,aVWAP_OB_bear_583,aVWAP_OB_bear_232,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,8.75,9.45,8.642,8.99,448681,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,448681.0,False,False,False,False
2022-01-04 00:00:00+00:00,8.57,8.9051,8.57,8.8,376882,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-376882,-14779.686274509804,False,False,False,False,445865.3529411765,False,False,False,False
2022-01-05 00:00:00+00:00,7.82921,8.731,7.817724,8.41,1543536,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1920418,-89510.60053825451,False,False,False,False,488911.2606689735,False,False,False,False
2022-01-06 00:00:00+00:00,8.1,8.1154,7.6893,8.0,619357,,,,,,,#000000,,,,4.341125931959443,-45.78910784599934,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1301061,-137022.38090930338,False,False,False,False,494026.77985842555,False,False,False,False
2022-01-07 00:00:00+00:00,8.4,8.41,8.0,8.0,483424,,,,,,,#000000,,,,10.91395072116554,-39.517654822836455,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-817637,-163713.15028540912,False,False,False,False,493610.98456985987,False,False,False,False
2022-01-10 00:00:00+00:00,8.34,8.72,8.01,8.5,584861,,,,,,,#000000,,,,15.9674204244177,-34.85558428573684,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1402498,-212292.94831343228,False,False,False,False,497189.41654751246,False,False,False,False
2022-01-11 00:00:00+00:00,8.403,8.65,8.13,8.15,424332,,,,,,,#000000,,,,20.620815962647544,-30.650593891135905,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-978166,-242327.18563447415,False,False,False,False,494332.262957414,False,False,False,False
2022-01-12 00:00:00+00:00,8.31,8.98,8.0087,8.4,457276,,,,,,,#000000,,,,23.9171111512035,-27.803681626038212,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1435442,-289116.00188410265,False,False,False,False,492879.0761747703,False,False,False,False
2022-01-13 00:00:00+00:00,8.22,8.4,8.09,8.1,606770,,,,,,,#000000,,,,26.15881461951144,-25.976021502008287,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2042212,-357864.8645553143,False,False,False,False,497345.38691301463,False,False,False,False
2022-01-14 00:00:00+00:00,8.23,8.27,8.0,8.22,342480,,,,,,,#000000,,,,28.080122643223287,-24.426379466657785,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1699732,-410487.1051609883,False,False,False,False,491272.2344850533,False,False,False,False
