date,Close,High,Low,Open,Volume,aVWAP_peak_181,aVWAP_peak_176,aVWAP_peak_159,aVWAP_peak_149,aVWAP_peak_133,aVWAP_peak_122,aVWAP_peak_104,aVWAP_peak_94,aVWAP_peak_88,aVWAP_peak_75,aVWAP_peak_67,aVWAP_peak_60,aVWAP_peak_44,aVWAP_peak_40,aVWAP_peak_34,aVWAP_peak_22,aVWAP_peak_16,aVWAP_valley_171,aVWAP_OB_bear_159,aVWAP_OB_bear_122,aVWAP_OB_bear_60,aVWAP_OB_bear_16,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,5.6476014811,5.8152856106,5.3457700481,5.5067468124,993241,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,993241.0,False,False,False,False
2022-01-07 00:00:00+00:00,5.8957739928,6.2579717125,5.6341867508,5.6476014811,1843967,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1843967,136590.14814814815,False,False,False,False,1056257.7407407407,False,False,False,False
2022-01-14 00:00:00+00:00,6.3719969205,6.4390705723,5.7951635151,5.9494329142,1332341,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3176308,361754.43347050756,False,False,False,False,1076708.3525377228,False,False,False,False
2022-01-21 00:00:00+00:00,5.7750414195,6.5195589545,5.7556571342,6.4390705723,1597641,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,86.43793450231341,37.17960995921814,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1578667,451896.10506528476,False,False,False,False,1115295.956053447,False,False,False,False
2022-01-28 00:00:00+00:00,5.8085782454,6.2311422517,5.5067468124,5.6207720204,1645690,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,77.1274732436317,28.934571143299138,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3224357,657263.5787641526,False,False,False,False,1154584.4037531917,False,False,False,False
2022-02-04 00:00:00+00:00,6.204312791,6.3854116509,5.7012604026,5.7884561499,1510472,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,73.90419894448416,26.675047810444127,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4734829,959305.4618186598,False,False,False,False,1180946.447919622,False,False,False,False
2022-02-11 00:00:00+00:00,6.2110201562,6.3250453643,5.7884561499,6.2848011732,2167695,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,71.6477027750976,25.23653109535799,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6902524,1399543.8720543147,False,False,False,False,1254038.9332589093,False,False,False,False
2022-02-18 00:00:00+00:00,5.9695550097,6.3451674598,5.8421150713,6.1908980607,1282890,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,67.14286819740948,21.548244735831872,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5619634,1712143.1407910322,False,False,False,False,1256176.049313805,False,False,False,False
2022-02-25 00:00:00+00:00,6.7878535616,6.8079756572,5.5536983686,6.1037023133,2029241,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,68.43462882412985,21.548244735831872,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7648875,2151901.0562879927,False,False,False,False,1313440.1197350046,False,False,False,False
2022-03-04 00:00:00+00:00,6.9421229608,7.210417568,6.5530957804,6.8415124831,3587584,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,69.90290903122026,21.548244735831872,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.34282819749554105,0.34282819749554105,False,False,False,False,11236459,2824831.274340734,False,False,False,False,1481895.221976856,False,False,False,False
2022-03-11 00:00:00+00:00,6.6402915277,7.7402994171,6.6402915277,7.0896849947,2761118,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,7.006960824166666,,68.34964395125564,21.548244735831872,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.34282819836234074,0.3428281979289409,False,False,False,False,8475341,3243387.550315494,False,False,False,False,1576652.4647933852,False,False,False,False
2022-03-18 00:00:00+00:00,6.6417757708,6.817269846,5.9330496977,6.3582853415,2493517,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,6.7493210789477835,,67.24678572778998,21.548244735831872,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.07730479954063171,0.1327616991941546,False,False,False,False,10968858,3815644.6206624946,False,False,False,False,1644568.3562901714,False,False,False,False
2022-03-25 00:00:00+00:00,7.5597447798,7.573244324,6.6687748593,6.817269846,1862564,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,6.884863787809303,,69.51920090659354,21.548244735831872,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3044639778230803,0.21861283850861746,False,False,False,False,12831422,4483479.982094903,False,False,False,False,1660716.1817501588,False,False,False,False
