date,Close,High,Low,Open,Volume,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,Peaks_Valleys_avg
2021-12-31 00:00:00+00:00,1.5,1.56,1.425,1.49,32885191,0,,,
2022-01-07 00:00:00+00:00,1.5,1.59,1.41,1.48,41108773,0,,,
2022-01-14 00:00:00+00:00,1.64,1.75,1.45,1.47,50754428,0,,,
2022-01-21 00:00:00+00:00,1.63,1.82,1.59,1.61,40798908,0,,,
2022-01-28 00:00:00+00:00,1.53,1.74,1.44,1.62,54412404,0,,,
2022-02-04 00:00:00+00:00,1.58,1.63,1.5,1.54,37127796,0,,,
2022-02-11 00:00:00+00:00,1.86,1.9,1.57,1.61,49323917,0,,,
2022-02-18 00:00:00+00:00,1.99,2.02,1.77,1.87,64223294,0,,,
2022-02-25 00:00:00+00:00,1.7,1.9901,1.59,1.97,45523286,0,,,
2022-03-04 00:00:00+00:00,1.77,1.7997,1.685,1.7,44672974,0,,,
2022-03-11 00:00:00+00:00,1.83,1.93,1.73,1.77,57292706,0,,,
2022-03-18 00:00:00+00:00,1.79,1.88,1.63,1.8,48742912,0,,,
2022-03-25 00:00:00+00:00,1.86,1.9,1.7752,1.8,26719332,0,,,
2022-04-01 00:00:00+00:00,1.84,1.89,1.68,1.84,24344062,0,,,
2022-04-08 00:00:00+00:00,1.83,1.88,1.71,1.84,24159888,0,,,
2022-04-15 00:00:00+00:00,1.9,1.92,1.8,1.86,21401372,0,,,
2022-04-22 00:00:00+00:00,1.64,1.99,1.62,1.93,29136025,0,,,
2022-04-29 00:00:00+00:00,1.46,1.6,1.41,1.58,28314477,0,,,
2022-05-06 00:00:00+00:00,1.35,1.49,1.33,1.41,25648897,0,,,
2022-05-13 00:00:00+00:00,1.26,1.35,1.14,1.34,28953133,0,,,
2022-05-20 00:00:00+00:00,1.31,1.39,1.25,1.25,18147794,0,,,
2022-05-27 00:00:00+00:00,1.32,1.4,1.31,1.36,16375589,0,,,
2022-06-03 00:00:00+00:00,1.39,1.45,1.265,1.32,15247057,0,,,
