date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color
2021-12-31 00:00:00+00:00,54.1,61.0,53.9,60.7,2670757,,#000000
2022-01-07 00:00:00+00:00,55.1,59.7,52.2,55.1,2446096,,#000000
2022-01-14 00:00:00+00:00,55.1,60.499,53.8,55.9,3029873,,#000000
2022-01-21 00:00:00+00:00,44.6,55.0,44.11,55.0,2836154,,#000000
2022-01-28 00:00:00+00:00,39.1,43.85,37.1,43.7,4412584,40.01666666666667,#000000
2022-02-04 00:00:00+00:00,42.1,45.6,38.7,39.246,2764695,40.832008769154264,#000000
2022-02-11 00:00:00+00:00,44.9,48.25,40.7,42.2,3852267,42.15386850162887,#000000
2022-02-18 00:00:00+00:00,41.3,49.0,41.0,43.7,2447363,42.44674742183093,#000000
2022-02-25 00:00:00+00:00,37.7,40.97,34.7,40.1,2160484,41.80336471111266,#000000
2022-03-04 00:00:00+00:00,33.4,38.9,32.9,37.02,1983699,41.044979182334444,#000000
2022-03-11 00:00:00+00:00,31.7,34.8,31.2,33.0,2558801,39.969933118244654,#000000
2022-03-18 00:00:00+00:00,35.5,36.5,28.9,31.8,2598796,36.440165316581655,#000000
2022-03-25 00:00:00+00:00,44.6,45.6,34.35,35.5,8419917,40.34452142081057,#000000
2022-04-01 00:00:00+00:00,39.5,45.4,39.2,42.9,7080622,40.63750628665278,#000000
2022-04-08 00:00:00+00:00,34.9,42.0,34.3,40.1,3953664,40.050058439265456,#000000
2022-04-15 00:00:00+00:00,35.4,37.841,33.3,34.2,1544780,39.783096748008866,#000000
2022-04-22 00:00:00+00:00,30.5,35.5,29.9,35.5,2497081,39.113662967629985,#000000
2022-04-29 00:00:00+00:00,30.3,31.85,27.9,30.0,2814399,38.321827926105414,#000000
2022-05-06 00:00:00+00:00,28.1,32.05,27.5,29.9,2951643,37.567499831330466,#000000
2022-05-13 00:00:00+00:00,28.4,28.4,22.0,27.2,4026239,36.4278765324542,#000000
2022-05-20 00:00:00+00:00,29.3,31.5,27.55,28.0,3575596,35.862312859880966,#000000
2022-05-27 00:00:00+00:00,16.8,29.6,16.2,29.3,13394616,32.3723920128996,#000000
2022-06-03 00:00:00+00:00,16.0,17.6,15.0,17.28,8553503,30.2921074857917,#000000
2022-06-10 00:00:00+00:00,14.0,16.6,13.6,16.3,4961204,29.215097369683473,#000000
2022-06-17 00:00:00+00:00,12.9,13.7,12.1,13.3,5340942,24.288673638276435,#000000
2022-06-24 00:00:00+00:00,15.3,16.1,12.6,13.5,4088791,23.97500019650421,#000000
2022-07-01 00:00:00+00:00,13.5,15.9,12.6,15.7,3862672,23.544198035380337,#000000
2022-07-08 00:00:00+00:00,13.9,14.8,12.6,13.0,2928031,23.22039547206328,#000000
2022-07-15 00:00:00+00:00,13.7,14.9,12.3,13.8,4897838,22.711594641296664,#000000
2022-07-22 00:00:00+00:00,14.1,17.2,13.7,13.9,5921973,22.303346156515925,#000000
2022-07-29 00:00:00+00:00,14.1,14.4,12.9,14.1,3578317,22.003837043229623,#000000
2022-08-05 00:00:00+00:00,15.0,16.0,13.6,14.1,4133351,21.746925498399854,#000000
2022-08-12 00:00:00+00:00,17.5,17.7,14.9,15.3,6323438,21.531703419168636,#000000
2022-08-19 00:00:00+00:00,15.3,19.4,15.1,17.5,8002126,20.32828882326171,#000000
2022-08-26 00:00:00+00:00,15.4,17.253,14.0,14.9,5114820,20.070607722219865,#000000
2022-09-02 00:00:00+00:00,15.1,16.7,14.8,15.3,4409058,19.89528155908545,#000000
2022-09-09 00:00:00+00:00,15.6,16.2,13.5,15.1,3863972,19.731390860163664,#000000
2022-09-16 00:00:00+00:00,14.3,16.3,14.1,15.7,3988673,19.56823834264943,#000000
