date,Close,High,Low,Open,Volume,color,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL
2022-01-03 00:00:00+00:00,3.03,3.1,2.99,3.1,3663876,#000000,,,False,False,False,False,False
2022-01-04 00:00:00+00:00,3.06,3.12,3.005,3.05,5265221,"rgba(38, 166, 154, 0.5)",100.0,,False,False,True,False,False
2022-01-05 00:00:00+00:00,2.94,3.16,2.935,3.08,5576573,"rgba(38, 166, 154, 0.5)",72.83950617283955,-58.641975308641804,False,False,True,False,True
2022-01-06 00:00:00+00:00,2.86,2.94,2.83,2.91,5385937,#000000,52.423658417132636,-58.641975308641804,False,False,False,False,True
2022-01-07 00:00:00+00:00,2.79,2.895,2.78,2.87,7875536,"rgba(239, 83, 80, 0.5)",37.790256845902,-58.641975308641804,False,False,False,True,True
2022-01-10 00:00:00+00:00,2.86,2.87,2.755,2.78,5867459,"rgba(239, 83, 80, 0.5)",34.91110894308019,-58.641975308641804,False,False,False,True,True
2022-01-11 00:00:00+00:00,2.95,2.97,2.845,2.86,4650627,"rgba(239, 83, 80, 0.5)",38.7023652401395,-58.641975308641804,False,False,False,True,True
2022-01-12 00:00:00+00:00,2.88,2.9,2.785,2.79,8436660,"rgba(239, 83, 80, 0.5)",38.58510980676654,-58.641975308641804,False,False,False,True,True
2022-01-13 00:00:00+00:00,2.69,2.86,2.69,2.84,6510486,"rgba(239, 83, 80, 0.5)",34.17913514139047,-58.641975308641804,False,False,False,True,True
2022-01-14 00:00:00+00:00,2.62,2.7,2.55,2.7,4996178,"rgba(239, 83, 80, 0.5)",30.221659227273516,-58.641975308641804,False,False,False,True,True
2022-01-18 00:00:00+00:00,2.56,2.625,2.51,2.59,4991626,"rgba(239, 83, 80, 0.5)",26.823911078922666,-58.641975308641804,False,False,False,True,False
2022-01-19 00:00:00+00:00,2.79,2.81,2.5688,2.58,7480860,"rgba(239, 83, 80, 0.5)",32.58325853948476,-58.641975308641804,False,False,False,True,False
2022-01-20 00:00:00+00:00,2.7,2.8179,2.69,2.79,4140688,"rgba(239, 83, 80, 0.5)",34.73652602822207,-58.641975308641804,False,False,False,True,False
2022-01-21 00:00:00+00:00,2.58,2.715,2.565,2.7,4250930,"rgba(239, 83, 80, 0.5)",34.297821839221584,-57.061568947906736,False,False,False,True,False
