date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color
2022-01-03 00:00:00+00:00,47.62,52.29,46.67,52.0,6304533,,#000000
2022-01-04 00:00:00+00:00,46.56,47.75,44.51,47.22,3665392,,#000000
2022-01-05 00:00:00+00:00,43.61,46.9999,43.35,46.03,3919660,,#000000
2022-01-06 00:00:00+00:00,43.34,44.9994,41.42,42.86,5350815,,#000000
2022-01-07 00:00:00+00:00,44.33,45.44,42.636,43.46,3526189,,#000000
2022-01-10 00:00:00+00:00,45.87,46.1,40.74,42.76,5173729,,#000000
2022-01-11 00:00:00+00:00,48.88,49.03,44.0,44.54,3454656,,#000000
2022-01-12 00:00:00+00:00,46.99,50.1057,46.85,49.15,3777365,,#000000
2022-01-13 00:00:00+00:00,42.21,47.4,41.84,47.12,4409108,,#000000
2022-01-14 00:00:00+00:00,42.68,43.208,41.25,41.97,3177503,,#000000
2022-01-18 00:00:00+00:00,41.2,43.48,40.84,41.65,2990031,,#000000
2022-01-19 00:00:00+00:00,41.38,43.0,40.65,41.05,2277819,,#000000
2022-01-20 00:00:00+00:00,41.84,44.8,41.72,42.56,4032892,,#000000
2022-01-21 00:00:00+00:00,40.11,42.48,39.79,41.23,6309620,,#000000
2022-01-24 00:00:00+00:00,41.49,41.605,35.9,38.48,5317182,39.665,#000000
2022-01-25 00:00:00+00:00,39.26,41.3,37.5,39.51,3828539,39.534531555977566,#000000
2022-01-26 00:00:00+00:00,39.93,44.8,39.6,40.93,4692206,40.18177381650687,#000000
2022-01-27 00:00:00+00:00,38.44,41.6871,38.33,41.38,2324001,40.08168203007917,#000000
2022-01-28 00:00:00+00:00,40.54,40.67,36.6,38.83,2582353,39.969858614423956,#000000
2022-01-31 00:00:00+00:00,44.75,44.95,41.5,41.88,2669044,40.438953424205096,#000000
2022-02-01 00:00:00+00:00,46.89,46.94,43.27,44.96,2418709,40.972896129317654,#000000
2022-02-02 00:00:00+00:00,43.89,46.27,43.22,45.41,2763066,41.33518460138772,#000000
2022-02-03 00:00:00+00:00,40.9,43.21,40.9,41.81,2384620,41.36273516073884,#000000
2022-02-04 00:00:00+00:00,42.85,43.62,40.9,41.43,2050592,41.435025996699615,#000000
2022-02-07 00:00:00+00:00,43.67,46.19,42.95,43.0,2263861,41.6277920726759,#000000
2022-02-08 00:00:00+00:00,43.34,44.03,41.75,42.37,4225756,41.7868447756311,#000000
2022-02-09 00:00:00+00:00,46.56,46.985,43.66,43.7,3963733,42.1640880660608,#000000
2022-02-10 00:00:00+00:00,46.43,48.46,42.81,43.79,4671894,44.22111969435164,#000000
2022-02-11 00:00:00+00:00,45.08,47.17,44.4198,46.37,2786033,44.2427755526372,#000000
2022-02-14 00:00:00+00:00,44.2,46.0,43.04,44.07,2666309,44.10780632577766,#000000
2022-02-15 00:00:00+00:00,45.99,46.02,43.35,44.5,3353222,44.14195811964703,#000000
2022-02-16 00:00:00+00:00,44.88,46.14,44.05,46.05,2540696,44.16273577901275,#000000
2022-02-17 00:00:00+00:00,41.26,44.63,41.01,44.1,2891178,43.91652556190457,#000000
2022-02-18 00:00:00+00:00,38.99,42.24,38.58,41.5,7466504,43.054944473827874,#000000
2022-02-22 00:00:00+00:00,37.51,40.22,37.335,38.53,2570074,42.75028469374587,#000000
2022-02-23 00:00:00+00:00,34.09,38.15,34.03,35.82,6661483,41.73603596756658,#000000
2022-02-24 00:00:00+00:00,39.13,39.42,31.83,32.09,7522796,39.659108946634845,#000000
2022-02-25 00:00:00+00:00,38.82,40.17,37.55,38.1,4027478,39.80448058116436,#000000
2022-02-28 00:00:00+00:00,41.5,42.22,38.77,39.57,4542463,40.11619069134895,#000000
2022-03-01 00:00:00+00:00,42.02,44.74,41.87,42.42,4256743,40.505706737077055,#000000
2022-03-02 00:00:00+00:00,42.77,43.02,40.1289,42.19,3438880,40.660949169883246,#000000
2022-03-03 00:00:00+00:00,41.05,42.3,39.42,42.09,3746988,40.71019834030681,#000000
2022-03-04 00:00:00+00:00,36.74,39.8,36.27,39.0,5651540,40.42603882296918,#000000
2022-03-07 00:00:00+00:00,33.92,38.58,33.68,37.5,4542349,40.07713641298161,#000000
2022-03-08 00:00:00+00:00,32.29,34.52,32.1,34.0,5336585,39.544229451011965,#000000
2022-03-09 00:00:00+00:00,34.64,35.0299,32.17,32.73,6544571,39.09062697250369,#000000
2022-03-10 00:00:00+00:00,35.24,36.15,33.89,34.75,5604457,38.84265388540517,#000000
2022-03-11 00:00:00+00:00,32.91,35.28,32.61,34.42,4710657,38.57869842563323,#000000
2022-03-14 00:00:00+00:00,29.55,33.73,29.3,32.95,9201471,36.12523047172809,#000000
2022-03-15 00:00:00+00:00,30.89,31.75,29.67,30.51,9694950,35.65675535731971,#000000
2022-03-16 00:00:00+00:00,35.05,36.83,30.77,30.77,14845615,35.78409279124854,#000000
2022-03-17 00:00:00+00:00,37.67,38.0,33.58,33.58,8896939,35.9857152921222,#000000
2022-03-18 00:00:00+00:00,40.57,40.67,36.92,37.09,26915065,36.922654252684616,#000000
2022-03-21 00:00:00+00:00,38.48,40.3,37.8272,39.12,5962757,37.03190300891347,#000000
2022-03-22 00:00:00+00:00,41.27,42.1,38.6,39.56,5096648,37.182791340127466,#000000
2022-03-23 00:00:00+00:00,41.7,42.295,39.16,40.2,3761653,37.29600106386004,#000000
2022-03-24 00:00:00+00:00,42.38,42.8,40.33,41.44,2425554,37.3785594696196,#000000
2022-03-25 00:00:00+00:00,40.48,42.84,39.04,42.84,3153214,38.12381441840712,#000000
2022-03-28 00:00:00+00:00,40.46,41.53,39.5586,40.54,2118068,38.1398723625846,#000000
2022-03-29 00:00:00+00:00,40.78,41.15,38.26,40.16,4468259,38.14845919531085,#000000
2022-03-30 00:00:00+00:00,38.87,41.0,38.55,40.41,2945725,38.137079459960866,#000000
2022-03-31 00:00:00+00:00,38.74,40.53,37.94,38.93,2020953,38.123168498259176,#000000
2022-04-01 00:00:00+00:00,38.88,39.41,38.1,38.81,2396553,38.10444578075985,#000000
2022-04-04 00:00:00+00:00,41.54,41.68,39.06,39.38,4646696,38.21612162317684,#000000
2022-04-05 00:00:00+00:00,38.22,41.55,37.65,41.54,3774096,38.216413299722326,#000000
2022-04-06 00:00:00+00:00,35.45,37.43,34.56,37.41,4714408,38.04889339350508,#000000
2022-04-07 00:00:00+00:00,35.28,36.954,34.74,35.75,3409505,37.945884846462356,#000000
2022-04-08 00:00:00+00:00,34.02,35.15,33.92,35.07,3545955,37.80942848311942,#000000
2022-04-11 00:00:00+00:00,34.05,34.91,32.79,33.27,5572008,37.605797158780675,#000000
2022-04-12 00:00:00+00:00,34.04,35.98,33.98,34.84,3573467,37.51563051973804,#000000
2022-04-13 00:00:00+00:00,38.35,38.57,33.7,34.04,4263946,37.494537295101416,#000000
2022-04-14 00:00:00+00:00,37.12,37.95,36.74,37.6,2810506,37.4905351418412,#000000
2022-04-18 00:00:00+00:00,36.49,37.79,35.78,37.0,2951446,37.47377404103349,#000000
2022-04-19 00:00:00+00:00,37.93,38.31,35.73,36.4,1903814,37.472434423945096,#000000
2022-04-20 00:00:00+00:00,36.23,38.29,35.61,38.19,2376898,37.460432758092004,#000000
2022-04-21 00:00:00+00:00,33.53,37.36,33.185,36.5,3516975,37.39477606693056,"rgba(239, 83, 80, 0.5)"
2022-04-22 00:00:00+00:00,32.68,34.5,32.56,33.8,2448161,37.32783802481371,"rgba(239, 83, 80, 1.0)"
2022-04-25 00:00:00+00:00,35.38,35.64,31.961,32.07,4191767,37.24937107610591,#000000
2022-04-26 00:00:00+00:00,34.11,35.34,33.73,34.83,2416172,37.20769555496109,"rgba(239, 83, 80, 0.5)"
2022-04-27 00:00:00+00:00,33.3,35.325,32.68,34.13,3210609,37.14243176218144,"rgba(239, 83, 80, 0.5)"
2022-04-28 00:00:00+00:00,34.93,35.46,32.55,33.34,1851958,37.11242453467868,"rgba(239, 83, 80, 0.5)"
2022-04-29 00:00:00+00:00,33.27,36.5,33.12,34.97,1535556,37.088029712777775,"rgba(239, 83, 80, 0.5)"
2022-05-02 00:00:00+00:00,33.79,33.97,32.3349,32.99,1592155,37.05451727538251,"rgba(239, 83, 80, 0.5)"
2022-05-03 00:00:00+00:00,32.47,34.75,31.95,33.27,1956052,37.01089120969188,"rgba(239, 83, 80, 1.0)"
2022-05-04 00:00:00+00:00,32.8,32.98,29.56,32.57,3905117,36.899079440036196,"rgba(239, 83, 80, 0.5)"
2022-05-05 00:00:00+00:00,29.29,32.32,28.955,31.88,2665989,36.8025583512336,"rgba(255, 0, 0, 1.0)"
2022-05-06 00:00:00+00:00,26.11,28.61,25.46,28.61,5066656,36.53409692527013,"rgba(255, 26, 202, 1.0)"
2022-05-09 00:00:00+00:00,21.94,25.5,21.5901,25.21,5917306,36.12837852701711,"rgba(255, 26, 202, 1.0)"
2022-05-10 00:00:00+00:00,21.71,24.0,20.63,22.83,5161502,35.774838678980856,"rgba(255, 26, 202, 1.0)"
2022-05-11 00:00:00+00:00,19.64,22.34,19.57,21.39,4201856,35.469762652317186,"rgba(255, 26, 202, 1.0)"
2022-05-12 00:00:00+00:00,21.51,23.48,18.64,18.87,5864765,31.99255368555448,"rgba(255, 0, 0, 1.0)"
2022-05-13 00:00:00+00:00,24.05,26.6937,22.22,22.22,9404595,32.00764580494301,"rgba(239, 83, 80, 1.0)"
2022-05-16 00:00:00+00:00,22.42,24.25,22.09,23.08,3254191,31.863968046804338,"rgba(255, 0, 0, 1.0)"
