date,Close,High,Low,Open,Volume,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,Peaks_Valleys_avg
2025-06-09 00:00:00+00:00,15.089,15.21,14.91,14.985,131171,0,,,
2025-06-10 00:00:00+00:00,14.6,15.2599,14.54,15.18,39626,0,,,
2025-06-11 00:00:00+00:00,14.26,14.82,14.22,14.76,77732,0,,,
2025-06-12 00:00:00+00:00,14.8,14.98,14.39,14.39,112064,0,,,
2025-06-13 00:00:00+00:00,15.35,15.42,14.67,14.8,76089,0,,,
2025-06-16 00:00:00+00:00,15.03,15.785,15.0,15.55,90424,0,,,
2025-06-17 00:00:00+00:00,14.11,14.95,13.83,14.95,105597,0,,,
2025-06-18 00:00:00+00:00,13.8,14.28,13.74,13.91,114863,0,,,
2025-06-20 00:00:00+00:00,13.86,14.03,13.74,13.79,220393,0,,,
2025-06-23 00:00:00+00:00,13.89,14.38,13.72,13.99,148117,0,,,
2025-06-24 00:00:00+00:00,13.45,13.9,13.05,13.9,51417,0,,,
2025-06-25 00:00:00+00:00,13.48,13.63,13.33,13.4,23956,0,,,
2025-06-26 00:00:00+00:00,13.63,13.63,13.415,13.52,11640,0,,,
2025-06-27 00:00:00+00:00,13.25,13.41,13.08,13.41,20209,0,,,
2025-06-30 00:00:00+00:00,13.52,13.64,13.21,13.38,77548,0,,,
2025-07-01 00:00:00+00:00,13.66,13.825,13.58,13.66,17028,0,,,
2025-07-02 00:00:00+00:00,13.6,13.83,13.355,13.67,38089,0,,,
2025-07-03 00:00:00+00:00,13.57,13.68,13.4309,13.47,68336,0,,,
2025-07-07 00:00:00+00:00,14.05,14.05,13.48,13.84,35004,0,,,
2025-07-08 00:00:00+00:00,13.15,14.05,12.84,14.05,114811,0,,,
2025-07-09 00:00:00+00:00,13.38,13.42,13.02,13.26,35418,0,,,
2025-07-10 00:00:00+00:00,13.25,13.44,13.11,13.44,48616,0,,,
2025-07-11 00:00:00+00:00,13.57,13.7241,13.34,13.4,41092,0,,,
2025-07-14 00:00:00+00:00,13.47,13.85,13.415,13.68,79900,0,,,
2025-07-15 00:00:00+00:00,13.2,13.51,12.89,13.51,55828,0,,,
2025-07-16 00:00:00+00:00,13.27,14.36,12.8567,13.27,163520,0,,,13.495566666666665
2025-07-17 00:00:00+00:00,13.1,13.16,12.78,13.16,56682,0,,,13.371435415361045
2025-07-18 00:00:00+00:00,13.52,13.57,12.99,13.22,71272,0,,,13.368639197092477
2025-07-21 00:00:00+00:00,13.91,14.12,13.67,13.67,117755,0,,,13.521537430957563
2025-07-22 00:00:00+00:00,14.16,14.19,13.85,14.05,67618,0,,,13.598838008837214
2025-07-23 00:00:00+00:00,13.78,14.15,13.66,14.15,68395,0,,,13.63201622643401
2025-07-24 00:00:00+00:00,13.55,13.8435,13.5,13.61,62486,0,,,13.631928875527647
2025-07-25 00:00:00+00:00,13.34,13.395,13.055,13.38,27225,0,,,13.616124534676844
2025-07-28 00:00:00+00:00,12.99,13.3,12.94,13.29,86627,0,,,13.551361630034092
2025-07-29 00:00:00+00:00,13.11,13.15,12.85,12.96,15831,0,,,13.540311976631758
2025-07-30 00:00:00+00:00,12.69,13.05,12.61,12.95,117524,0,,,13.436253588479438
2025-07-31 00:00:00+00:00,12.89,12.92,12.665,12.68,18145,0,,,13.423550060322842
2025-08-01 00:00:00+00:00,13.04,13.23,12.86,13.04,63604,0,,,13.39773206332125
2025-08-04 00:00:00+00:00,13.57,13.91,13.13,13.13,32380,0,,,13.402374380501875
2025-08-05 00:00:00+00:00,13.49,13.65,13.3,13.65,43390,0,,,13.405701124857691
