date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_82,Gap_Up_aVWAP_73,Gap_Up_aVWAP_72,Gap_Up_aVWAP_67,Gap_Up_aVWAP_65,Gap_Up_aVWAP_61,Gap_Up_aVWAP_57,Gap_Up_aVWAP_41,Gap_Up_aVWAP_33,Gap_Up_aVWAP_20,Gap_Down_aVWAP_75,Gap_Down_aVWAP_66,Gap_Down_aVWAP_49,Gap_Down_aVWAP_40,Gap_Down_aVWAP_22,Gap_Down_aVWAP_21,Gap_Down_aVWAP_18,Gap_Down_aVWAP_14,aVWAP_OB_bull_40,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-17 00:00:00+00:00,9.96,9.96,9.96,9.96,1672,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1672.0,False,False,False,False
2025-03-18 00:00:00+00:00,9.96,9.96,9.96,9.96,78,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1609.4901960784314,False,False,False,False
2025-03-19 00:00:00+00:00,9.98,9.98,9.95,9.95,2180,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,2180,85.49019607843137,False,False,False,False,1631.8631295655518,False,False,False,False
2025-03-20 00:00:00+00:00,9.97,10.0,9.96,10.0,312550,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,88.17204301075269,2.688172043010752,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-310370,-12089.234909650135,False,False,False,False,13824.731242131607,False,False,False,False
2025-03-21 00:00:00+00:00,9.98,9.98,9.98,9.98,50338,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,83.60734808605477,2.688172043010752,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-260032,-21812.480599467777,False,False,False,False,15256.624134597036,False,False,False,False
2025-03-24 00:00:00+00:00,9.97,9.98,9.96,9.98,55997,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,74.70650009495185,2.688172043010752,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-316029,-33350.38332105728,False,False,False,False,16854.285933240288,False,False,False,False
2025-03-25 00:00:00+00:00,9.97,9.97,9.96,9.965,420635,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,68.77260143421655,2.688172043010752,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-316029,-44435.81926925111,False,False,False,False,32688.823739779884,False,False,False,False
2025-03-26 00:00:00+00:00,9.97,9.99,9.96,9.97,813052,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,64.81666899372635,2.688172043010752,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-316029,-55086.532239084394,False,False,False,False,63291.30124018068,False,False,False,False
2025-03-27 00:00:00+00:00,9.99,9.99,9.97,9.97,78149,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,67.72124729121268,2.688172043010752,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-237880,-62254.903523826186,False,False,False,False,63873.956093506924,False,False,False,False
2025-03-28 00:00:00+00:00,9.97,9.9741,9.97,9.9741,5437,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,62.35524192318426,2.688172043010752,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-243317,-69355.37789544085,False,False,False,False,61582.31075650665,False,False,False,False
