date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_852,Gap_Up_aVWAP_840,Gap_Up_aVWAP_756,Gap_Up_aVWAP_714,Gap_Up_aVWAP_642,Gap_Up_aVWAP_636,Gap_Up_aVWAP_630,Gap_Up_aVWAP_618,Gap_Up_aVWAP_594,Gap_Up_aVWAP_558,Gap_Down_aVWAP_882,Gap_Down_aVWAP_858,Gap_Down_aVWAP_816,Gap_Down_aVWAP_810,Gap_Down_aVWAP_792,Gap_Down_aVWAP_774,Gap_Down_aVWAP_762,Gap_Down_aVWAP_726,Gap_Down_aVWAP_720,Gap_Down_aVWAP_696,aVWAP_OB_bull_582,aVWAP_OB_bull_318,aVWAP_OB_bear_852,aVWAP_OB_bear_715,aVWAP_OB_bear_264,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-19 14:00:00+00:00,7.06,7.07,7.015,7.035,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,700.0,False,False,False,False
2025-03-19 15:00:00+00:00,7.035,7.035,6.94,6.995,3048.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-3048.0,-47.25581395348837,False,False,False,False,736.4031007751937,False,False,False,False
2025-03-19 16:00:00+00:00,6.995,7.035,6.96,7.015,2467.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.99999999999983,-67.99999999999974,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-581.0,-55.53091761312421,False,False,False,False,763.2340604530978,False,False,False,False
2025-03-19 17:00:00+00:00,7.01,7.22,7.0,7.125,19394.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.72347017815635,-46.3488768396589,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,18813.0,237.00444545064516,False,False,False,False,1052.0831447871583,False,False,False,False
2025-03-19 18:00:00+00:00,7.125,7.135,6.99,7.055,22393.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.035053607203245,-40.11185996420611,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3580.0,177.82608195528633,False,False,False,False,1382.9500727749542,False,False,False,False
2025-03-19 19:00:00+00:00,7.055,7.07,6.915,7.0,18627.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.19705568483426,-38.767904145782055,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-22207.0,-169.22548520681113,False,False,False,False,1650.299684049761,False,False,False,False
2025-03-20 14:00:00+00:00,7.0,7.08,6.99,7.04,7805.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.34920484247655,-33.97592111657179,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-14402.0,-389.8886559787985,False,False,False,False,1745.721394374571,False,False,False,False
2025-03-20 15:00:00+00:00,7.04,7.09,6.975,7.025,4218.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.40699907767093,-30.841407588731414,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-18620.0,-672.5260411574218,False,False,False,False,1784.0512952369806,False,False,False,False
2025-03-20 16:00:00+00:00,7.025,7.03,6.99,7.0,3058.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.466994851309515,-29.49637562377944,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-21678.0,-998.1923040852137,False,False,False,False,1803.8024379464846,False,False,False,False
2025-03-20 17:00:00+00:00,6.995,7.065,6.985,7.035,2636.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.53071224179921,-25.21807199089459,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-19042.0,-1277.9412606110243,False,False,False,False,1816.70472573026,False,False,False,False
