date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_870,Gap_Up_aVWAP_864,Gap_Up_aVWAP_846,Gap_Up_aVWAP_834,Gap_Up_aVWAP_822,Gap_Up_aVWAP_816,Gap_Up_aVWAP_804,Gap_Up_aVWAP_786,Gap_Up_aVWAP_774,Gap_Up_aVWAP_702,Gap_Down_aVWAP_882,Gap_Down_aVWAP_876,Gap_Down_aVWAP_810,Gap_Down_aVWAP_792,Gap_Down_aVWAP_780,Gap_Down_aVWAP_732,Gap_Down_aVWAP_714,Gap_Down_aVWAP_618,Gap_Down_aVWAP_582,Gap_Down_aVWAP_486,aVWAP_OB_bull_828,aVWAP_OB_bull_757,aVWAP_OB_bull_656,aVWAP_OB_bull_560,aVWAP_OB_bull_388,aVWAP_OB_bear_271,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-21 15:00:00+00:00,45.965,45.965,45.965,45.965,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",1.0,45.7425,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,10.0,False,False,False,False
2025-01-21 16:00:00+00:00,45.965,46.15,45.965,46.08,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,3.0,0.046511627906976744,False,False,False,False,9.891472868217054,False,False,False,False
2025-01-21 17:00:00+00:00,46.08,46.235,46.08,46.14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,4.0,0.10780602127276004,False,False,False,False,9.753620575686558,False,False,False,False
2025-01-21 18:00:00+00:00,46.14,46.52,46.14,46.52,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,104.0,1.7185377108654305,False,False,False,False,11.152789248931729,False,False,False,False
2025-01-21 19:00:00+00:00,46.52,46.52,46.52,46.52,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,104.0,3.3042968161233306,False,False,False,False,10.97987778770798,False,False,False,False
2025-01-21 20:00:00+00:00,46.52,46.61,46.52,46.61,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,204.0,6.415858105795837,False,False,False,False,12.360034721231887,False,False,False,False
2025-01-22 15:00:00+00:00,46.61,47.41,46.61,47.41,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,205.0,9.494682011132335,False,False,False,False,12.183910151910462,False,False,False,False
2025-01-22 16:00:00+00:00,47.41,47.46,47.16,47.42,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,213.0,12.649803220262067,False,False,False,False,12.119043327849834,False,False,False,False
2025-01-22 17:00:00+00:00,47.42,47.52,47.37,47.4,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,99.34324373292165,49.40891935962948,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,112.0,14.190116348630095,False,False,False,False,13.497042656100223,False,False,False,False
2025-01-22 18:00:00+00:00,47.4,47.4,47.37,47.37,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,97.85392595761539,48.107938737878555,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,111.0,15.691044777333504,False,False,False,False,13.30329005678084,False,False,False,False
