date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_840,Gap_Up_aVWAP_828,Gap_Up_aVWAP_702,Gap_Up_aVWAP_594,Gap_Up_aVWAP_492,Gap_Up_aVWAP_421,Gap_Up_aVWAP_402,Gap_Up_aVWAP_318,Gap_Up_aVWAP_288,Gap_Up_aVWAP_270,Gap_Down_aVWAP_858,Gap_Down_aVWAP_792,Gap_Down_aVWAP_768,Gap_Down_aVWAP_736,Gap_Down_aVWAP_705,Gap_Down_aVWAP_636,Gap_Down_aVWAP_612,Gap_Down_aVWAP_570,Gap_Down_aVWAP_504,Gap_Down_aVWAP_469,aVWAP_OB_bull_827,aVWAP_OB_bull_378,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-08 15:00:00+00:00,14.37,14.38,13.775,14.05,908.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,908.0,False,False,False,False
2025-01-08 16:00:00+00:00,14.08,14.39,14.08,14.25,1313.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,1313.0,20.356589147286822,False,False,False,False,914.2790697674419,False,False,False,False
2025-01-08 17:00:00+00:00,14.27,14.37,14.205,14.22,328.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.18716577540116,33.15508021390404,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,985.0,35.31230094345292,False,False,False,False,905.1894717865513,False,False,False,False
2025-01-08 18:00:00+00:00,14.22,14.37,14.05,14.075,1563.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.43514353197493,42.56114789535478,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-578.0,25.803583099368375,False,False,False,False,915.3880846270698,False,False,False,False
2025-01-08 19:00:00+00:00,14.075,14.12,13.985,14.005,1057.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.85332537022911,30.512579408453306,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-1635.0,0.05469033813785629,False,False,False,False,917.5836181987431,False,False,False,False
2025-01-08 20:00:00+00:00,14.005,14.55,13.95,14.51,5186.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.26746530694558,30.512579408453306,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,3551.0,55.10810599181014,False,False,False,False,983.7606163662044,False,False,False,False
2025-01-09 15:00:00+00:00,14.51,14.51,14.51,14.51,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.54355859808989,30.512579408453306,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,3551.0,109.30798031751851,False,False,False,False,968.5085137868834,False,False,False,False
2025-01-09 16:00:00+00:00,14.51,14.51,14.51,14.51,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.06095412551943,30.512579408453306,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,3551.0,162.66754651414612,False,False,False,False,953.4928779142185,False,False,False,False
2025-01-09 17:00:00+00:00,14.51,14.51,14.51,14.51,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.07255114380578,30.512579408453306,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,3551.0,215.19983261470202,False,False,False,False,938.7100425977189,False,False,False,False
2025-01-09 18:00:00+00:00,14.51,14.51,14.51,14.51,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.74694915599669,30.512579408453306,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,3551.0,266.91766466718724,False,False,False,False,924.1563985264364,False,False,False,False
2025-01-09 19:00:00+00:00,14.51,14.51,14.51,14.51,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.19654783079062,30.512579408453306,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,3551.0,317.83366986614556,False,False,False,False,909.828392347732,False,False,False,False
