date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_858,Gap_Up_aVWAP_846,Gap_Up_aVWAP_744,Gap_Up_aVWAP_606,Gap_Up_aVWAP_590,Gap_Up_aVWAP_564,Gap_Up_aVWAP_546,Gap_Up_aVWAP_504,Gap_Up_aVWAP_474,Gap_Up_aVWAP_468,Gap_Down_aVWAP_864,Gap_Down_aVWAP_840,Gap_Down_aVWAP_839,Gap_Down_aVWAP_816,Gap_Down_aVWAP_810,Gap_Down_aVWAP_798,Gap_Down_aVWAP_792,Gap_Down_aVWAP_768,Gap_Down_aVWAP_750,Gap_Down_aVWAP_708,aVWAP_OB_bull_341,aVWAP_OB_bear_749,aVWAP_OB_bear_666,aVWAP_OB_bear_474,aVWAP_OB_bear_119,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-03 14:00:00+00:00,48.345,48.75,48.24,48.39,3715.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",1.0,47.74,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,3715.0,False,False,False,False
2025-04-03 15:00:00+00:00,48.39,48.735,48.345,48.66,1621.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,1621.0,25.131782945736433,False,False,False,False,3682.5348837209303,False,False,False,False
2025-04-03 16:00:00+00:00,48.66,49.105,48.66,48.91,1726.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,3347.0,76.63361576828315,False,False,False,False,3652.201009554714,False,False,False,False
2025-04-03 17:00:00+00:00,48.94,49.03,48.79,48.92,2861.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,6208.0,171.69355970986015,False,False,False,False,3639.934327236036,False,False,False,False
2025-04-03 18:00:00+00:00,49.08,49.245,48.935,49.205,5343.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,11551.0,348.1169153732732,False,False,False,False,3666.3384461936166,False,False,False,False
2025-04-03 19:00:00+00:00,49.17,49.36,48.9,48.94,11215.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.85114380501332,40.86602942451199,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,336.0,347.9290562201992,False,False,False,False,3783.371958655731,False,False,False,False
2025-04-04 14:00:00+00:00,47.51,47.57,46.8,47.47,8691.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.8953044666051,21.71470539164379,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-8355.0,212.99992356562245,False,False,False,False,3859.4592151106804,False,False,False,False
2025-04-04 15:00:00+00:00,47.365,48.355,47.365,47.85,13721.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.31335694186862,13.833066377925029,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,5366.0,292.8913976188686,False,False,False,False,4012.3513203027624,False,False,False,False
2025-04-04 16:00:00+00:00,47.92,48.05,47.41,47.415,12827.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.19957663274192,7.098073169320081,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-7461.0,172.6760271131497,False,False,False,False,4149.01254014303,False,False,False,False
2025-04-04 17:00:00+00:00,47.41,47.75,47.02,47.625,10266.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.106143748990426,4.580467456814532,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,2805.0,213.48725149899235,False,False,False,False,4243.8495550245325,False,False,False,False
