date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_115,Gap_Up_aVWAP_111,Gap_Up_aVWAP_101,Gap_Up_aVWAP_98,Gap_Up_aVWAP_96,Gap_Up_aVWAP_84,Gap_Up_aVWAP_82,Gap_Up_aVWAP_81,Gap_Up_aVWAP_78,Gap_Up_aVWAP_70,Gap_Down_aVWAP_119,Gap_Down_aVWAP_117,Gap_Down_aVWAP_113,Gap_Down_aVWAP_110,Gap_Down_aVWAP_94,Gap_Down_aVWAP_79,Gap_Down_aVWAP_75,Gap_Down_aVWAP_71,Gap_Down_aVWAP_67,Gap_Down_aVWAP_65,aVWAP_OB_bull_26,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-05-16 16:00:00+00:00,24.505,25.195,22.185,22.74,131124.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,131124.0,False,False,False,False
2025-05-19 16:00:00+00:00,26.215,26.225,23.54,24.0,45685.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,45685.0,708.2945736434109,False,False,False,False,129799.36434108527,False,False,False,False
2025-05-20 16:00:00+00:00,22.2,22.27,21.6,21.95,46456.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.44374342797057,-25.44689800210299,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-771.0,685.3597740520402,False,False,False,False,128507.21915750255,False,False,False,False
2025-05-21 16:00:00+00:00,23.6,23.98,21.575,22.32,47984.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.57490412335254,-25.44689800210299,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,47213.0,1406.7185372450317,False,False,False,False,127258.79715506065,False,False,False,False
2025-05-22 16:00:00+00:00,23.91,24.94,23.63,24.505,34657.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.95822749316478,-25.44689800210299,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,81870.0,2654.2112731016978,False,False,False,False,125823.1103774628,False,False,False,False
2025-05-23 16:00:00+00:00,23.0,23.425,22.695,22.89,14737.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.21331623574234,-25.44689800210299,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,67133.0,3653.8824161543844,False,False,False,False,124100.84510029283,False,False,False,False
2025-05-26 16:00:00+00:00,22.89,22.89,22.89,22.89,0.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.38337539746071,-25.44689800210299,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,67133.0,4638.054781795402,False,False,False,False,122176.80099021077,False,False,False,False
2025-05-27 16:00:00+00:00,22.46,22.57,21.695,21.7,40884.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.53773515591223,-25.44689800210299,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,26249.0,4973.108196031132,False,False,False,False,120916.44748648656,False,False,False,False
2025-05-28 16:00:00+00:00,19.735,20.86,19.705,20.415,51256.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.058605669201256,-25.44689800210299,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-25007.0,4508.300317022898,False,False,False,False,119836.44054871157,False,False,False,False
2025-05-29 16:00:00+00:00,20.085,20.115,19.22,19.565,45464.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.38688800301859,-25.44689800210299,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-70471.0,3345.8305446659533,False,False,False,False,118683.37945493309,False,False,False,False
2025-05-30 16:00:00+00:00,18.655,18.66,18.0,18.145,287962.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.26833333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8115762038068,-25.44689800210299,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-358433.0,-2263.143572305612,False,False,False,False,121307.8541920659,False,False,False,False
2025-06-02 16:00:00+00:00,18.475,18.765,18.45,18.515,315204.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,18.429462939445084,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.467871320171376,-25.44689800210299,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-43229.0,-2898.2731293241295,False,False,False,False,124313.99598753774,False,False,False,False
