date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_882,Gap_Up_aVWAP_864,Gap_Up_aVWAP_834,Gap_Up_aVWAP_792,Gap_Up_aVWAP_774,Gap_Up_aVWAP_768,Gap_Up_aVWAP_756,Gap_Up_aVWAP_750,Gap_Up_aVWAP_744,Gap_Up_aVWAP_732,Gap_Down_aVWAP_876,Gap_Down_aVWAP_858,Gap_Down_aVWAP_852,Gap_Down_aVWAP_840,Gap_Down_aVWAP_828,Gap_Down_aVWAP_822,Gap_Down_aVWAP_816,Gap_Down_aVWAP_804,Gap_Down_aVWAP_798,Gap_Down_aVWAP_726,aVWAP_OB_bull_729,aVWAP_OB_bull_625,aVWAP_OB_bull_360,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-14 14:00:00+00:00,0.6585,0.6765,0.6423,0.6664,35464.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",-1.0,0.85004,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,35464.0,False,False,False,False
2025-04-14 15:00:00+00:00,0.6665,0.6716,0.6234,0.6241,20081.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-20081.0,-311.3333333333333,False,False,False,False,35225.50387596899,False,False,False,False
2025-04-14 16:00:00+00:00,0.6241,0.627,0.6029,0.6029,8239.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-28320.0,-745.5762273901809,False,False,False,False,34807.10846703924,False,False,False,False
2025-04-14 17:00:00+00:00,0.6029,0.6234,0.6029,0.6137,3026.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.708245243128975,-44.862579281183926,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-25294.0,-1126.1719447949843,False,False,False,False,34314.378103209165,False,False,False,False
2025-04-14 18:00:00+00:00,0.6137,0.623,0.6122,0.6187,4814.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.775895955284268,-39.7441883548319,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-20480.0,-1426.231294488085,False,False,False,False,33857.007900058634,False,False,False,False
2025-04-14 19:00:00+00:00,0.6187,0.63,0.614,0.6231,2850.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7229496671082,-34.93856290469981,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-17630.0,-1677.4525147285797,False,False,False,False,33376.27909540656,False,False,False,False
2025-04-15 14:00:00+00:00,0.6671,0.6978,0.6642,0.674,28022.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.275236960361966,-21.56555792538187,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,10392.0,-1490.3292199265861,False,False,False,False,33293.267016408005,False,False,False,False
2025-04-15 15:00:00+00:00,0.6734,0.6931,0.6614,0.6651,10474.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.7430880812279,-15.145600802091707,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-82.0,-1468.4946583773367,False,False,False,False,32939.4799308823,False,False,False,False
2025-04-15 16:00:00+00:00,0.6692,0.676,0.626,0.6403,7216.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.13838362501764,-14.924939415796658,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-7298.0,-1558.874586154432,False,False,False,False,32540.666288543038,False,False,False,False
2025-04-15 17:00:00+00:00,0.6521,0.6528,0.6111,0.6127,5761.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.79443931958929,-14.924939415796658,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-13059.0,-1737.1711041985495,False,False,False,False,32125.477663914462,False,False,False,False
