date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_846,Gap_Up_aVWAP_834,Gap_Up_aVWAP_828,Gap_Up_aVWAP_792,Gap_Up_aVWAP_774,Gap_Up_aVWAP_750,Gap_Up_aVWAP_744,Gap_Up_aVWAP_738,Gap_Up_aVWAP_714,Gap_Up_aVWAP_696,Gap_Down_aVWAP_876,Gap_Down_aVWAP_852,Gap_Down_aVWAP_840,Gap_Down_aVWAP_708,Gap_Down_aVWAP_690,Gap_Down_aVWAP_672,Gap_Down_aVWAP_660,Gap_Down_aVWAP_636,Gap_Down_aVWAP_588,Gap_Down_aVWAP_552,aVWAP_OB_bull_693,aVWAP_OB_bull_218,aVWAP_OB_bear_688,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-20 14:00:00+00:00,59.76,60.015,59.755,60.005,3534.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,3534.0,False,False,False,False
2025-03-20 15:00:00+00:00,60.015,60.075,59.81,59.93,5104.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-5104.0,-79.13178294573643,False,False,False,False,3558.3410852713178,False,False,False,False
2025-03-20 16:00:00+00:00,59.93,60.065,59.9,59.96,3784.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.344827586206893,-65.51724137931033,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1320.0,-98.3700498768103,False,False,False,False,3561.8396730965683,False,False,False,False
2025-03-20 17:00:00+00:00,59.96,60.075,59.87,59.925,3008.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.24724085124345,-60.97058668215675,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4328.0,-163.94570801825512,False,False,False,False,3553.2530114981714,False,False,False,False
2025-03-20 18:00:00+00:00,59.925,60.0,59.79,59.915,3239.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.22320435033278,-57.771191915085446,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-7567.0,-278.7217435528558,False,False,False,False,3548.380871785021,False,False,False,False
2025-03-20 19:00:00+00:00,59.915,60.09,59.905,59.94,12800.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.679816471418746,-50.21746914398288,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,5233.0,-193.26869326521464,False,False,False,False,3691.816827261222,False,False,False,False
2025-03-21 14:00:00+00:00,59.79,59.79,59.375,59.565,5175.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.905360335538965,-50.21746914398288,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,58.0,-189.37305460994,False,False,False,False,3714.81191521066,False,False,False,False
2025-03-21 15:00:00+00:00,59.565,59.575,59.075,59.135,4338.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.338663690536883,-50.21746914398288,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4280.0,-252.79362740668512,False,False,False,False,3724.473745982588,False,False,False,False
2025-03-21 16:00:00+00:00,59.13,59.39,59.11,59.365,4712.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.64268675616811,-50.21746914398288,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,432.0,-242.17667194301555,False,False,False,False,3739.7842305409977,False,False,False,False
2025-03-21 17:00:00+00:00,59.355,59.615,59.355,59.555,3437.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.84334380590243,-43.86368582937414,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,3869.0,-178.4374987345967,False,False,False,False,3735.089901385323,False,False,False,False
2025-03-21 18:00:00+00:00,59.56,59.685,59.55,59.635,5784.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.20377399703287,-36.89177489788333,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,9653.0,-26.012111157316127,False,False,False,False,3766.8559494258607,False,False,False,False
2025-03-21 19:00:00+00:00,59.64,59.74,59.515,59.56,10867.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.34392368845106,-32.95047054597967,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1214.0,-44.43052803859805,False,False,False,False,3876.93570214794,False,False,False,False
2025-03-24 14:00:00+00:00,60.15,60.475,60.05,60.415,6431.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15010781875597,-21.120390076617326,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,5217.0,37.14203828758176,False,False,False,False,3916.5335982386696,False,False,False,False
2025-03-24 15:00:00+00:00,60.415,60.73,60.41,60.645,7290.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.32423503252146,-12.157562011416701,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,12507.0,230.47316947692156,False,False,False,False,3968.8354029171396,False,False,False,False
