date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_852,Gap_Up_aVWAP_846,Gap_Up_aVWAP_840,Gap_Up_aVWAP_816,Gap_Up_aVWAP_762,Gap_Up_aVWAP_750,Gap_Up_aVWAP_726,Gap_Up_aVWAP_720,Gap_Up_aVWAP_702,Gap_Up_aVWAP_684,Gap_Down_aVWAP_864,Gap_Down_aVWAP_792,Gap_Down_aVWAP_756,Gap_Down_aVWAP_732,Gap_Down_aVWAP_714,Gap_Down_aVWAP_708,Gap_Down_aVWAP_696,Gap_Down_aVWAP_690,Gap_Down_aVWAP_636,Gap_Down_aVWAP_624,aVWAP_OB_bull_308,aVWAP_OB_bear_769,aVWAP_OB_bear_498,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-11 14:00:00+00:00,46.43,46.795,45.49,45.99,4598.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,4598.0,False,False,False,False
2025-04-11 15:00:00+00:00,46.23,46.345,45.36,46.005,12072.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,12072.0,187.1627906976744,False,False,False,False,4713.875968992248,False,False,False,False
2025-04-11 16:00:00+00:00,46.025,46.785,45.855,46.705,10257.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,46.41,46.345,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,22329.0,530.4470885163151,False,False,False,False,4799.815876449732,False,False,False,False
2025-04-11 17:00:00+00:00,46.76,47.29,46.41,47.11,4930.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,27259.0,944.8432576866048,False,False,False,False,4801.834234954387,False,False,False,False
2025-04-11 18:00:00+00:00,47.145,47.3,46.96,46.98,3635.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8872007186657,46.29848064679912,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,23624.0,1296.458090900766,False,False,False,False,4783.743781699281,False,False,False,False
2025-04-11 19:00:00+00:00,46.98,47.545,46.98,47.305,13788.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.20487023830589,45.03115117135536,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,37412.0,1856.3889732123819,False,False,False,False,4923.344653300842,False,False,False,False
2025-04-14 14:00:00+00:00,48.0,48.51,47.95,48.5,19109.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.6584684054015,45.03115117135536,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,56521.0,2703.9023224649027,False,False,False,False,5143.277294334937,False,False,False,False
2025-04-14 15:00:00+00:00,48.47,48.47,47.88,47.9,11098.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.77278827206092,39.69924073717662,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,45423.0,3366.2139143646714,False,False,False,False,5235.59857659331,False,False,False,False
2025-04-14 16:00:00+00:00,47.905,48.2,47.715,47.96,4861.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.39688351696739,36.210116237088556,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,50284.0,4093.6214505760718,False,False,False,False,5229.790846723646,False,False,False,False
2025-04-14 17:00:00+00:00,48.02,48.33,47.9,48.26,6600.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.51270596716519,34.96936649666522,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,56884.0,4912.076931962489,False,False,False,False,5251.03439948762,False,False,False,False
