date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_882,Gap_Up_aVWAP_858,Gap_Up_aVWAP_852,Gap_Up_aVWAP_828,Gap_Up_aVWAP_810,Gap_Up_aVWAP_798,Gap_Up_aVWAP_792,Gap_Up_aVWAP_786,Gap_Up_aVWAP_762,Gap_Up_aVWAP_756,Gap_Down_aVWAP_876,Gap_Down_aVWAP_846,Gap_Down_aVWAP_840,Gap_Down_aVWAP_822,Gap_Down_aVWAP_816,Gap_Down_aVWAP_804,Gap_Down_aVWAP_768,Gap_Down_aVWAP_678,Gap_Down_aVWAP_672,Gap_Down_aVWAP_618,aVWAP_OB_bull_549,aVWAP_OB_bear_429,aVWAP_OB_bear_268,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-14 14:00:00+00:00,60.455,60.665,60.255,60.555,166597.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",1.0,63.605,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,166597.0,False,False,False,False
2025-04-14 15:00:00+00:00,60.555,60.56,60.295,60.32,47260.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-47260.0,-732.7131782945736,False,False,False,False,164746.81395348837,False,False,False,False
2025-04-14 16:00:00+00:00,60.325,60.52,60.32,60.51,53803.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.877437325905214,-73.81615598885782,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,6543.0,-619.9114235923321,False,False,False,False,163026.75482242653,False,False,False,False
2025-04-14 17:00:00+00:00,60.505,60.685,60.495,60.63,21528.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.87632138064172,-58.729416607004445,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,28071.0,-175.09109144361372,False,False,False,False,160832.97567789277,False,False,False,False
2025-04-14 18:00:00+00:00,60.63,60.65,60.395,60.52,26232.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.678717877603816,-51.866802830877916,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,1839.0,-143.86487297161972,False,False,False,False,158746.13884567737,False,False,False,False
2025-04-14 19:00:00+00:00,60.525,60.615,60.52,60.605,14771.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.17416937021901,-43.80053660051974,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,16610.0,115.88497002018835,False,False,False,False,156513.96615039554,False,False,False,False
2025-04-15 14:00:00+00:00,60.615,60.875,60.61,60.795,21546.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5527643409379,-33.77549145588768,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,38156.0,705.6541952911932,False,False,False,False,154421.43954341265,False,False,False,False
2025-04-15 15:00:00+00:00,60.79,60.82,60.685,60.765,12762.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.07044420807604,-27.242721232285902,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,25394.0,1088.4192465269887,False,False,False,False,152225.16916289463,False,False,False,False
2025-04-15 16:00:00+00:00,60.765,60.805,60.73,60.77,10300.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.183635754372695,-21.818664394867707,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,35694.0,1624.9398783637794,False,False,False,False,150024.77894331486,False,False,False,False
2025-04-15 17:00:00+00:00,60.765,60.945,60.75,60.895,4917.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.529536147999906,-15.188308248315813,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,40611.0,2229.374919009302,False,False,False,False,147775.04593644175,False,False,False,False
