date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_435,Gap_Up_aVWAP_433,Gap_Up_aVWAP_431,Gap_Up_aVWAP_428,Gap_Up_aVWAP_427,Gap_Up_aVWAP_420,Gap_Up_aVWAP_408,Gap_Up_aVWAP_398,Gap_Up_aVWAP_394,Gap_Up_aVWAP_389,Gap_Down_aVWAP_443,Gap_Down_aVWAP_432,Gap_Down_aVWAP_425,Gap_Down_aVWAP_422,Gap_Down_aVWAP_417,Gap_Down_aVWAP_415,Gap_Down_aVWAP_412,Gap_Down_aVWAP_404,Gap_Down_aVWAP_388,Gap_Down_aVWAP_383,aVWAP_OB_bull_296,aVWAP_OB_bull_214,aVWAP_OB_bull_4,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-04 17:00:00+00:00,29.605,29.68,29.055,29.055,64035.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,64035.0,False,False,False,False
2023-12-05 17:00:00+00:00,28.84,29.28,28.77,28.865,15087.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-15087.0,-233.90697674418604,False,False,False,False,63276.11627906976,False,False,False,False
2023-12-06 17:00:00+00:00,29.11,29.275,28.995,29.15,18971.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,20.930232558139487,-81.39534883720924,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,3884.0,-170.06345772489632,False,False,False,False,62589.21525148729,False,False,False,False
2023-12-07 17:00:00+00:00,28.72,28.95,28.515,28.64,15750.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,23.197980871079352,-77.2613520997494,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-11866.0,-351.3958072175336,False,False,False,False,61863.025867743294,False,False,False,False
2023-12-08 17:00:00+00:00,28.295,28.5,28.225,28.43,21912.0,,,,,,,,,,,,,,,,,,,,,,,28.385,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,22.81018843484234,-74.47515146908418,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-33778.0,-869.6377326870291,False,False,False,False,61243.6301178558,False,False,False,False
2023-12-11 17:00:00+00:00,28.85,28.88,28.62,28.845,20276.0,,,,,,,,,,,,,,,,,,,,,,,28.575642204734365,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,30.701221279304523,-63.450452750093746,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-13502.0,-1065.4883104748271,False,False,False,False,60608.47306176501,False,False,False,False
2023-12-12 17:00:00+00:00,29.37,30.135,29.315,30.125,45733.0,,,,,,,,,,,,,,,,,,,,,,,29.24284700659304,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,45.25767827178293,-46.57802833598915,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,32231.0,-549.2636855062251,False,False,False,False,60377.84557243532,False,False,False,False
2023-12-13 17:00:00+00:00,30.825,31.96,30.82,31.785,103053.0,,,,,,,,,,,,,,,,,,,,,,,30.472539019273125,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,58.6518084426223,-31.36766376808209,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,135284.0,1556.6783871372822,False,False,False,False,61039.47587363787,False,False,False,False
2023-12-14 17:00:00+00:00,32.925,33.18,32.265,32.395,78355.0,,,,,,,,,,,,,,,,,,,,,,,31.09535326682236,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,68.31650795099708,-19.906265307993287,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,213639.0,4844.776396639029,False,False,False,False,61307.93361203108,False,False,False,False
2023-12-15 17:00:00+00:00,32.76,32.94,32.495,32.825,120242.0,,,,,,,,,,,,,,,,,,,,,,,31.607092690848823,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,75.20133430876797,-11.031123326542897,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,333881.0,9946.113196691138,False,False,False,False,62221.6400676585,False,False,False,False
