date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_876,Gap_Up_aVWAP_846,Gap_Up_aVWAP_828,Gap_Up_aVWAP_798,Gap_Up_aVWAP_774,Gap_Up_aVWAP_768,Gap_Up_aVWAP_714,Gap_Up_aVWAP_696,Gap_Up_aVWAP_684,Gap_Up_aVWAP_648,Gap_Down_aVWAP_858,Gap_Down_aVWAP_852,Gap_Down_aVWAP_816,Gap_Down_aVWAP_762,Gap_Down_aVWAP_738,Gap_Down_aVWAP_708,Gap_Down_aVWAP_681,Gap_Down_aVWAP_672,Gap_Down_aVWAP_642,Gap_Down_aVWAP_594,aVWAP_OB_bull_757,aVWAP_OB_bull_683,aVWAP_OB_bull_606,aVWAP_OB_bull_510,aVWAP_OB_bull_300,aVWAP_OB_bull_207,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-13 14:00:00+00:00,67.285,68.11,67.18,67.65,2699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,2699.0,False,False,False,False
2025-03-13 15:00:00+00:00,67.58,67.58,66.705,66.705,2297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-2297.0,-35.6124031007752,False,False,False,False,2692.767441860465,False,False,False,False
2025-03-13 16:00:00+00:00,66.7,67.385,66.7,67.04,1945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.503546099290887,-64.25531914893634,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-352.0,-40.51763716122829,False,False,False,False,2681.17414818821,False,False,False,False
2025-03-13 17:00:00+00:00,67.065,67.07,66.485,66.485,1939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.541555915215643,-60.570755704674966,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2291.0,-75.40883658508523,False,False,False,False,2669.6675722473074,False,False,False,False
2025-03-13 18:00:00+00:00,66.445,67.01,66.445,66.745,1812.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.76088066740416,-53.635076640774244,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-479.0,-81.66606392485134,False,False,False,False,2656.3704005845584,False,False,False,False
2025-03-13 19:00:00+00:00,66.775,66.805,66.34,66.53,6024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.59941486462231,-49.72609081145496,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-6503.0,-181.22162882524123,False,False,False,False,2708.5817122034027,False,False,False,False
2025-03-14 14:00:00+00:00,67.38,67.38,66.87,66.92,5219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.44183935863728,-42.02979949525367,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1284.0,-198.31896791322197,False,False,False,False,2747.5029259676908,False,False,False,False
2025-03-14 15:00:00+00:00,66.93,67.9,66.82,67.9,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.063790915730124,-30.204702773515233,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,764.0,-183.39929399208674,False,False,False,False,2736.6579193635407,False,False,False,False
2025-03-14 16:00:00+00:00,67.91,68.02,67.54,67.74,1429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.48254452469995,-23.4870718724994,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,-665.0,-190.86597160461253,False,False,False,False,2716.3841531718576,False,False,False,False
2025-03-14 17:00:00+00:00,67.74,68.0,67.73,67.78,1632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.99775326695201,-18.43331788167512,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,967.0,-172.9145611921379,False,False,False,False,2699.5719957583406,False,False,False,False
