date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_445,Gap_Up_aVWAP_433,Gap_Up_aVWAP_430,Gap_Up_aVWAP_429,Gap_Up_aVWAP_424,Gap_Up_aVWAP_405,Gap_Up_aVWAP_403,Gap_Up_aVWAP_400,Gap_Up_aVWAP_394,Gap_Up_aVWAP_384,Gap_Down_aVWAP_444,Gap_Down_aVWAP_439,Gap_Down_aVWAP_435,Gap_Down_aVWAP_434,Gap_Down_aVWAP_425,Gap_Down_aVWAP_419,Gap_Down_aVWAP_416,Gap_Down_aVWAP_412,Gap_Down_aVWAP_408,Gap_Down_aVWAP_387,aVWAP_OB_bull_378,aVWAP_OB_bear_230,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-20 17:00:00+00:00,15.01,15.11,14.92,14.92,27.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",-1.0,14.5225,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,27.0,False,False,False,False
2023-12-21 17:00:00+00:00,15.215,15.85,15.215,15.85,144.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,144.0,2.2325581395348837,False,False,False,False,28.813953488372093,False,False,False,False
2023-12-22 17:00:00+00:00,16.2,16.4,16.08,16.15,149.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,293.0,6.7405804939606995,False,False,False,False,30.677303046691904,False,False,False,False
2023-12-25 17:00:00+00:00,16.15,16.15,16.15,16.15,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,293.0,11.178711028938054,False,False,False,False,30.201685945192803,False,False,False,False
2023-12-26 17:00:00+00:00,16.79,16.98,16.79,16.98,2.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,295.0,15.579041090504905,False,False,False,False,29.76445050418206,False,False,False,False
2023-12-27 17:00:00+00:00,16.405,16.405,15.85,15.85,284.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.83465597320215,37.25119037588193,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,11.0,15.508048205380797,False,False,False,False,33.70608693047381,False,False,False,False
2023-12-28 17:00:00+00:00,16.11,16.11,15.75,15.75,35.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.61305145462921,28.90166695077417,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-24.0,14.895520326227606,False,False,False,False,33.7261475982184,False,False,False,False
2023-12-29 17:00:00+00:00,15.65,15.65,15.65,15.65,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.99555324519051,23.112505842251238,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-24.0,14.292489003340355,False,False,False,False,33.20326158894369,False,False,False,False
2024-01-01 17:00:00+00:00,15.65,15.65,15.65,15.65,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.9172211055647,19.507464557291684,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-24.0,13.698807003288566,False,False,False,False,32.6884823395027,False,False,False,False
2024-01-02 17:00:00+00:00,15.09,15.09,15.09,15.09,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.37487960833133,13.398653618698958,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,-24.0,13.114329375330604,False,False,False,False,32.18168416369645,False,False,False,False
