date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_446,Gap_Up_aVWAP_442,Gap_Up_aVWAP_441,Gap_Up_aVWAP_432,Gap_Up_aVWAP_431,Gap_Up_aVWAP_428,Gap_Up_aVWAP_423,Gap_Up_aVWAP_421,Gap_Up_aVWAP_417,Gap_Up_aVWAP_416,Gap_Down_aVWAP_445,Gap_Down_aVWAP_437,Gap_Down_aVWAP_436,Gap_Down_aVWAP_434,Gap_Down_aVWAP_433,Gap_Down_aVWAP_429,Gap_Down_aVWAP_424,Gap_Down_aVWAP_420,Gap_Down_aVWAP_409,Gap_Down_aVWAP_406,aVWAP_OB_bear_260,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-27 17:00:00+00:00,54.16,54.365,54.05,54.2,17379.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,17379.0,False,False,False,False
2023-11-28 17:00:00+00:00,54.18,54.21,53.31,53.795,19485.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-19485.0,-302.09302325581393,False,False,False,False,17411.651162790695,False,False,False,False
2023-11-29 17:00:00+00:00,54.31,54.445,54.07,54.2,36753.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,17.64705882352941,-76.47058823529412,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,17268.0,-29.68848025959977,False,False,False,False,17711.517036235797,False,False,False,False
2023-11-30 17:00:00+00:00,53.91,54.53,53.91,53.97,14220.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,24.951519069166075,-68.13186813186817,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,3048.0,18.02762020954131,False,False,False,False,17657.384989162372,False,False,False,False
2023-12-01 17:00:00+00:00,54.45,55.72,54.45,55.65,24187.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,43.420060331824956,-49.12491919844868,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,27235.0,439.9961842373004,False,False,False,False,17758.61933041567,False,False,False,False
2023-12-04 17:00:00+00:00,56.1,56.695,55.835,56.025,31298.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,56.68140806884474,-35.143326144633136,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,58533.0,1340.6629100630787,False,False,False,False,17968.532209013876,False,False,False,False
2023-12-05 17:00:00+00:00,55.28,55.3,54.69,54.72,9944.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,55.4820396234777,-34.32868506324848,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,48589.0,2073.195268046597,False,False,False,False,17844.12085693614,False,False,False,False
2023-12-06 17:00:00+00:00,55.695,55.83,54.97,54.99,13761.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,55.89780631065523,-31.07309996019857,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,62350.0,3007.7193724179674,False,False,False,False,17780.816657603795,False,False,False,False
2023-12-07 17:00:00+00:00,54.615,54.92,54.415,54.755,20397.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,54.837814394221596,-28.942771031283094,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,41953.0,3611.522172845596,False,False,False,False,17821.37763965645,False,False,False,False
2023-12-08 17:00:00+00:00,54.74,55.17,54.61,54.875,23007.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,54.74639928424262,-25.65029889421635,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,64960.0,4562.661363964268,False,False,False,False,17901.774885553248,False,False,False,False
