date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_446,Gap_Up_aVWAP_445,Gap_Up_aVWAP_442,Gap_Up_aVWAP_441,Gap_Up_aVWAP_440,Gap_Up_aVWAP_439,Gap_Up_aVWAP_438,Gap_Up_aVWAP_430,Gap_Up_aVWAP_428,Gap_Up_aVWAP_424,Gap_Down_aVWAP_443,Gap_Down_aVWAP_435,Gap_Down_aVWAP_432,Gap_Down_aVWAP_431,Gap_Down_aVWAP_425,Gap_Down_aVWAP_423,Gap_Down_aVWAP_415,Gap_Down_aVWAP_407,Gap_Down_aVWAP_404,Gap_Down_aVWAP_400,aVWAP_OB_bull_338,aVWAP_OB_bull_188,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-19 17:00:00+00:00,29.49,29.69,29.28,29.37,22720.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,22720.0,False,False,False,False
2023-12-20 17:00:00+00:00,29.53,29.68,28.675,28.705,9380.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-9380.0,-145.42635658914728,False,False,False,False,22513.178294573645,False,False,False,False
2023-12-21 17:00:00+00:00,29.495,29.765,29.3,29.68,6363.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.75203973040083,-81.12805959560126,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3017.0,-189.9468781924163,False,False,False,False,22262.787933417465,False,False,False,False
2023-12-22 17:00:00+00:00,29.9,29.97,29.575,29.795,9031.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.54675541040989,-65.73761151055302,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,6014.0,-93.76165527470442,False,False,False,False,22057.643934449752,False,False,False,False
2023-12-25 17:00:00+00:00,29.795,29.795,29.795,29.795,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.409899197082595,-54.428138686484,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,6014.0,0.9323238768413802,False,False,False,False,21715.66495872185,False,False,False,False
2023-12-26 17:00:00+00:00,29.97,30.145,29.87,29.935,23652.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.20789014099056,-44.49077473769052,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,29666.0,460.85585373921595,False,False,False,False,21745.685657036236,False,False,False,False
2023-12-27 17:00:00+00:00,29.975,30.0,29.44,29.445,48403.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.68900808486908,-42.88439968115018,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-18737.0,163.21467771225133,False,False,False,False,22158.977352275986,False,False,False,False
2023-12-28 17:00:00+00:00,29.58,29.735,29.48,29.59,21004.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.19712151542868,-38.6439967309022,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,2267.0,195.83150441438696,False,False,False,False,22141.070726659305,False,False,False,False
2023-12-29 17:00:00+00:00,29.25,29.49,29.21,29.29,6887.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.496331794623075,-37.592555401334565,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,-4620.0,121.16745008238095,False,False,False,False,21904.573506090943,False,False,False,False
2024-01-01 17:00:00+00:00,29.29,29.29,29.29,29.29,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.695805314086,-35.68815116984817,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4620.0,47.660977988080475,False,False,False,False,21564.967715298833,False,False,False,False
