date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_442,Gap_Up_aVWAP_440,Gap_Up_aVWAP_436,Gap_Up_aVWAP_426,Gap_Up_aVWAP_420,Gap_Up_aVWAP_419,Gap_Up_aVWAP_413,Gap_Up_aVWAP_412,Gap_Up_aVWAP_409,Gap_Up_aVWAP_406,Gap_Down_aVWAP_441,Gap_Down_aVWAP_433,Gap_Down_aVWAP_430,Gap_Down_aVWAP_429,Gap_Down_aVWAP_422,Gap_Down_aVWAP_421,Gap_Down_aVWAP_418,Gap_Down_aVWAP_416,Gap_Down_aVWAP_414,Gap_Down_aVWAP_410,aVWAP_OB_bull_353,aVWAP_OB_bear_214,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-01 17:00:00+00:00,13.32,13.68,13.24,13.64,22768.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,22768.0,False,False,False,False
2023-12-04 17:00:00+00:00,13.355,13.455,13.25,13.41,13432.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-13432.0,-208.24806201550388,False,False,False,False,22623.25581395349,False,False,False,False
2023-12-05 17:00:00+00:00,12.77,12.845,12.69,12.755,5806.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-19238.0,-503.28297578270536,False,False,False,False,22362.52316567514,False,False,False,False
2023-12-06 17:00:00+00:00,12.695,12.8,12.585,12.675,7254.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-26492.0,-906.2088211194076,False,False,False,False,22128.282496439864,False,False,False,False
2023-12-07 17:00:00+00:00,12.8,12.87,12.7,12.715,1818.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,1.6873828206374242,-48.48135546142632,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-24674.0,-1274.7017076136804,False,False,False,False,21813.394395719868,False,False,False,False
2023-12-08 17:00:00+00:00,13.225,13.58,13.185,13.535,13553.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,19.85776437477336,-32.229255031942216,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-11121.0,-1427.3574950925379,False,False,False,False,21685.326265553667,False,False,False,False
2023-12-11 17:00:00+00:00,13.315,13.445,13.215,13.44,2689.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,30.742525626893162,-23.577189048542955,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-13810.0,-1619.3364486569947,False,False,False,False,21390.80957926601,False,False,False,False
2023-12-12 17:00:00+00:00,13.53,13.78,13.48,13.735,15971.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,40.9501863386606,-15.646430792915957,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,2161.0,-1560.726581235956,False,False,False,False,21306.781523773512,False,False,False,False
2023-12-13 17:00:00+00:00,13.905,14.79,13.84,14.77,5354.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,53.21459987177465,-5.801811499780129,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,7515.0,-1420.0176419919876,False,False,False,False,21059.451577668497,False,False,False,False
2023-12-14 17:00:00+00:00,16.145,16.36,16.115,16.33,10596.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,64.49348330151003,3.161171728257827,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,18111.0,-1117.2111669223443,False,False,False,False,20897.227522200767,False,False,False,False
2023-12-15 17:00:00+00:00,16.515,16.555,16.155,16.23,8775.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,71.16323140023422,8.13506135095335,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,9336.0,-955.1458775126955,False,False,False,False,20709.28601022866,False,False,False,False
2023-12-18 17:00:00+00:00,16.005,16.055,15.84,15.935,4557.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,73.11532224436581,9.327720487984664,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,4779.0,-866.2443910396305,False,False,False,False,20458.862971310387,False,False,False,False
2023-12-19 17:00:00+00:00,16.455,16.84,16.405,16.82,2278.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,16.688333333333336,,0.0,0.0,0.0,0.0,76.17934980054733,12.150813066259097,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,7057.0,-743.4033927289385,False,False,False,False,20176.989126793946,False,False,False,False
2023-12-20 17:00:00+00:00,16.65,16.83,16.17,16.24,12159.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,16.456725312276326,,0.0,0.0,0.0,0.0,74.2425960304736,12.150813066259097,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-5102.0,-810.9785339269393,False,False,False,False,20052.679217851404,False,False,False,False
2023-12-21 17:00:00+00:00,16.5,16.5,16.28,16.475,1057.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,16.454106213157782,,0.0,0.0,0.0,0.0,73.56394150498006,12.150813066259097,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-4045.0,-861.1184016179944,False,False,False,False,19758.172563311073,False,False,False,False
2023-12-22 17:00:00+00:00,16.725,16.795,16.515,16.605,2534.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,16.480001016936615,,0.0,0.0,0.0,0.0,73.45577169159273,12.150813066259097,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-1511.0,-871.1940853138394,False,False,False,False,19491.13112822098,False,False,False,False
2023-12-25 17:00:00+00:00,16.605,16.605,16.605,16.605,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,16.480001016936615,,0.0,0.0,0.0,0.0,73.38365848266784,12.173433292929118,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-1511.0,-881.1135568593613,False,False,False,False,19188.943048713678,False,False,False,False
2023-12-26 17:00:00+00:00,16.47,16.575,16.465,16.575,1285.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,16.48388218643746,,0.0,0.0,0.0,0.0,73.07346705050438,12.964965442331994,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-2796.0,-910.8017187685185,False,False,False,False,18911.362536330522,False,False,False,False
2023-12-27 17:00:00+00:00,16.695,16.76,16.52,16.53,1090.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,16.49026368671274,,0.0,0.0,0.0,0.0,72.43688803197423,13.374171678478191,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-3886.0,-956.9288239038904,False,False,False,False,18635.06234196881,False,False,False,False
