date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_883,Gap_Up_aVWAP_737,Gap_Up_aVWAP_690,Gap_Up_aVWAP_684,Gap_Up_aVWAP_660,Gap_Up_aVWAP_583,Gap_Up_aVWAP_570,Gap_Up_aVWAP_534,Gap_Up_aVWAP_522,Gap_Up_aVWAP_469,Gap_Down_aVWAP_882,Gap_Down_aVWAP_864,Gap_Down_aVWAP_858,Gap_Down_aVWAP_822,Gap_Down_aVWAP_810,Gap_Down_aVWAP_750,Gap_Down_aVWAP_714,Gap_Down_aVWAP_708,Gap_Down_aVWAP_678,Gap_Down_aVWAP_612,aVWAP_OB_bull_426,aVWAP_OB_bull_365,aVWAP_OB_bull_286,aVWAP_OB_bear_701,aVWAP_OB_bear_599,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-13 15:00:00+00:00,29.26,29.67,29.15,29.6,244.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,244.0,False,False,False,False
2025-02-13 16:00:00+00:00,29.6,29.7,29.51,29.51,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-345.0,-5.348837209302325,False,False,False,False,245.56589147286823,False,False,False,False
2025-02-13 17:00:00+00:00,29.51,29.59,29.48,29.58,551.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.55555555555518,-73.33333333333277,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,206.0,-2.072111051018568,False,False,False,False,250.3013040081726,False,False,False,False
2025-02-13 18:00:00+00:00,29.58,29.71,29.5,29.57,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.84065460809605,-63.42118863049048,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-13.0,-2.241535685886497,False,False,False,False,249.81601247316215,False,False,False,False
2025-02-13 19:00:00+00:00,29.57,29.64,29.51,29.62,649.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.34702884334686,-51.13366887302837,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,636.0,7.653681921646626,False,False,False,False,256.004911504586,False,False,False,False
2025-02-13 20:00:00+00:00,29.62,29.66,29.51,29.6,1821.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.790922321893696,-44.235003699465985,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1185.0,-10.837072836828515,False,False,False,False,280.2684012487009,False,False,False,False
2025-02-14 15:00:00+00:00,29.6,29.78,29.515,29.515,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.276722944495134,-44.235003699465985,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1615.0,-35.70781589362187,False,False,False,False,282.58982138438,False,False,False,False
2025-02-14 16:00:00+00:00,29.515,29.59,29.46,29.56,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.38004583823297,-40.02210185096693,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1399.0,-56.8441288255037,False,False,False,False,281.5574210528392,False,False,False,False
2025-02-14 17:00:00+00:00,29.56,29.595,29.475,29.53,425.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.042056677387706,-37.53581532001814,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1824.0,-84.24189427006954,False,False,False,False,283.7813370055083,False,False,False,False
2025-02-14 18:00:00+00:00,29.475,29.52,29.11,29.11,640.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.160517039422935,-37.53581532001814,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2464.0,-121.13736877751032,False,False,False,False,289.30410697441516,False,False,False,False
