date,Close,High,Low,Open,Volume
2025-03-21 00:00:00+00:00,9.98,10.0,9.95,9.96,366818
2025-03-28 00:00:00+00:00,9.97,9.99,9.96,9.98,1373270
2025-04-04 00:00:00+00:00,10.0,10.01,9.985,10.0,113456
2025-04-11 00:00:00+00:00,10.01,10.04,10.01,10.04,81613
2025-04-18 00:00:00+00:00,10.0,10.05,10.0,10.04,10453
2025-04-25 00:00:00+00:00,10.04,10.045,9.99,9.99,469657
2025-05-02 00:00:00+00:00,10.07,10.07,10.02,10.02,440940
2025-05-09 00:00:00+00:00,10.1,10.1,10.04,10.07,5118
2025-05-16 00:00:00+00:00,10.09,10.1,10.05,10.1,184127
2025-05-23 00:00:00+00:00,10.09,10.09,10.09,10.09,5
2025-05-30 00:00:00+00:00,10.08,10.085,10.08,10.08,139721
2025-06-06 00:00:00+00:00,10.095,10.095,10.08,10.08,5124
2025-06-13 00:00:00+00:00,10.1,10.11,10.09,10.09,2520
2025-06-20 00:00:00+00:00,10.104,10.11,10.1,10.1,125801
2025-06-27 00:00:00+00:00,10.12,10.1286,10.1122,10.12,3920
2025-07-04 00:00:00+00:00,10.14,10.17,10.1255,10.1255,634
2025-07-11 00:00:00+00:00,10.13,10.17,10.13,10.14,6039
2025-07-18 00:00:00+00:00,10.13,10.13,10.13,10.13,0
