date,Open,High,Low,Close,Volume
2025-07-09 13:30:00+00:00,93.24,93.285,93.05,93.15,4417.0
2025-07-09 13:35:00+00:00,93.145,93.28,92.97,93.27,2180.0
2025-07-09 13:40:00+00:00,93.28,93.36,93.085,93.265,1840.0
2025-07-09 13:45:00+00:00,93.245,93.57,93.23,93.565,3304.0
2025-07-09 13:50:00+00:00,93.565,93.645,93.5,93.535,1495.0
2025-07-09 13:55:00+00:00,93.49,93.56,93.465,93.465,1837.0
2025-07-09 14:00:00+00:00,93.43,93.46,93.345,93.42,804.0
2025-07-09 14:05:00+00:00,93.405,93.515,93.315,93.38,1184.0
2025-07-09 14:10:00+00:00,93.365,93.455,93.29,93.34,1324.0
2025-07-09 14:15:00+00:00,93.38,93.555,93.375,93.53,918.0
2025-07-09 14:20:00+00:00,93.53,93.62,93.435,93.54,1692.0
2025-07-09 14:25:00+00:00,93.54,93.71,93.51,93.555,885.0
2025-07-09 14:30:00+00:00,93.565,93.61,93.455,93.475,898.0
2025-07-09 14:35:00+00:00,93.475,93.515,93.375,93.415,634.0
2025-07-09 14:40:00+00:00,93.42,93.56,93.32,93.345,989.0
2025-07-09 14:45:00+00:00,93.34,93.535,93.32,93.38,914.0
2025-07-09 14:50:00+00:00,93.38,93.54,93.275,93.335,1078.0
2025-07-09 14:55:00+00:00,93.335,93.545,93.33,93.36,1350.0
2025-07-09 15:00:00+00:00,93.36,93.66,93.36,93.66,1023.0
2025-07-09 15:05:00+00:00,93.66,93.68,93.55,93.555,476.0
2025-07-09 15:10:00+00:00,93.53,93.555,93.48,93.535,1095.0
2025-07-09 15:15:00+00:00,93.535,93.57,93.4,93.475,2157.0
2025-07-09 15:20:00+00:00,93.475,93.48,93.365,93.4,550.0
2025-07-09 15:25:00+00:00,93.41,93.475,93.41,93.43,905.0
2025-07-09 15:30:00+00:00,93.45,93.535,93.43,93.52,1656.0
2025-07-09 15:35:00+00:00,93.52,93.52,93.355,93.5,1493.0
2025-07-09 15:40:00+00:00,93.51,93.525,93.37,93.385,4568.0
2025-07-09 15:45:00+00:00,93.41,93.44,93.37,93.41,1032.0
2025-07-09 15:50:00+00:00,93.41,93.415,93.345,93.39,1219.0
2025-07-09 15:55:00+00:00,93.39,93.495,93.37,93.47,1952.0
2025-07-09 16:00:00+00:00,93.455,93.51,93.4,93.485,647.0
2025-07-09 16:05:00+00:00,93.405,93.48,93.355,93.37,641.0
2025-07-09 16:10:00+00:00,93.37,93.38,93.24,93.315,332.0
2025-07-09 16:15:00+00:00,93.3,93.365,93.29,93.365,1154.0
2025-07-09 16:20:00+00:00,93.35,93.35,93.21,93.215,4203.0
2025-07-09 16:25:00+00:00,93.21,93.275,93.175,93.2,1224.0
2025-07-09 16:30:00+00:00,93.2,93.245,93.19,93.2,616.0
2025-07-09 16:35:00+00:00,93.2,93.24,93.115,93.12,701.0
2025-07-09 16:40:00+00:00,93.1,93.185,93.095,93.15,466.0
2025-07-09 16:45:00+00:00,93.15,93.2,93.13,93.145,974.0
2025-07-09 16:50:00+00:00,93.145,93.19,93.125,93.19,524.0
2025-07-09 16:55:00+00:00,93.19,93.205,93.15,93.15,316.0
2025-07-09 17:00:00+00:00,93.175,93.175,93.065,93.11,36.0
2025-07-09 17:05:00+00:00,93.11,93.13,93.01,93.13,975.0
2025-07-09 17:10:00+00:00,93.125,93.155,93.06,93.08,2310.0
2025-07-09 17:15:00+00:00,93.08,93.14,93.04,93.13,1224.0
2025-07-09 17:20:00+00:00,93.17,93.215,93.15,93.175,1423.0
2025-07-09 17:25:00+00:00,93.2,93.225,93.145,93.145,1323.0
2025-07-09 17:30:00+00:00,93.14,93.2,93.025,93.08,949.0
2025-07-09 17:35:00+00:00,93.065,93.08,93.025,93.08,1174.0
2025-07-09 17:40:00+00:00,93.08,93.165,93.065,93.1,2151.0
2025-07-09 17:45:00+00:00,93.11,93.2,93.1,93.2,1853.0
2025-07-09 17:50:00+00:00,93.165,93.26,93.13,93.25,1025.0
2025-07-09 17:55:00+00:00,93.27,93.28,93.205,93.225,1187.0
2025-07-09 18:00:00+00:00,93.205,93.335,93.205,93.335,1209.0
2025-07-09 18:05:00+00:00,93.35,93.39,93.31,93.335,1387.0
2025-07-09 18:10:00+00:00,93.345,93.35,93.22,93.22,1438.0
2025-07-09 18:15:00+00:00,93.23,93.245,93.19,93.215,1256.0
2025-07-09 18:20:00+00:00,93.215,93.215,93.09,93.09,786.0
2025-07-09 18:25:00+00:00,93.05,93.105,93.015,93.04,181.0
2025-07-09 18:30:00+00:00,93.075,93.13,93.03,93.055,1027.0
