date,Close,High,Low,Open,Volume
2022-12-02 00:00:00+00:00,30.2185183647,33.4133874677,28.3784934657,29.797418139,46200
2022-12-09 00:00:00+00:00,29.2939287388,33.0746764167,28.7263588695,29.8431899027,106000
2022-12-16 00:00:00+00:00,24.8174502534,30.7952425867,24.4970479078,29.4220896771,17833086
2022-12-23 00:00:00+00:00,25.6688050574,27.0968840834,24.8082959007,24.8266046062,15499895
2022-12-30 00:00:00+00:00,26.2455292794,27.3440516072,25.5223354137,25.7786572902,4896448
2023-01-06 00:00:00+00:00,27.2616624326,27.4355951345,25.8702008175,26.5476229196,5260866
2023-01-13 00:00:00+00:00,29.1932308588,29.3030830916,27.4905212508,27.9207758292,7377656
2023-01-20 00:00:00+00:00,29.2939287388,29.7333376699,28.318990173,29.7241833172,4755524
2023-01-27 00:00:00+00:00,29.7516463754,30.0628943682,28.6210838131,29.5319419098,7241797
2023-02-03 00:00:00+00:00,30.8501687031,31.1339536377,28.8819828659,29.3946266189,8995124
2023-02-10 00:00:00+00:00,31.7472952707,32.7634284238,30.1910553065,30.4748402411,10530476
2023-02-17 00:00:00+00:00,32.1317780854,32.9465154785,31.6832148016,31.738140918,10738351
2023-02-24 00:00:00+00:00,31.0790275214,32.0402345581,30.5434978866,31.8113757398,7108168
2023-03-03 00:00:00+00:00,31.6808811248,31.8842006653,30.6920088143,31.4221108006,6845139
2023-03-10 00:00:00+00:00,29.2410466391,32.0690366112,29.0192435041,31.5977049492,14522510
2023-03-17 00:00:00+00:00,28.390801288,29.3889153958,27.8362934504,28.6772970042,10690240
2023-03-24 00:00:00+00:00,28.6680552069,29.5737513417,28.233690734,28.5941208285,7509986
2023-03-31 00:00:00+00:00,30.2391607469,30.303853328,28.326108707,28.8713747473,9558803
2023-04-07 00:00:00+00:00,29.2225630445,30.2946115307,29.0192435041,30.0358412064,5634393
2023-04-14 00:00:00+00:00,30.9507791386,31.2187912601,28.9083419365,29.111661477,5200685
2023-04-21 00:00:00+00:00,30.1652263685,31.0431971115,29.5183005579,30.9600209359,9672288
2023-04-28 00:00:00+00:00,31.0062299223,31.0431971115,29.7216200984,30.1929517604,5008163
2023-05-05 00:00:00+00:00,29.897214247,31.3943854087,28.797440369,31.0709225034,9011362
2023-05-12 00:00:00+00:00,29.1578704635,31.0986478953,28.640329815,29.897214247,8091186
2023-05-19 00:00:00+00:00,28.8344075582,29.4166407877,28.4648280844,29.2040794499,6399792
2023-05-26 00:00:00+00:00,28.7142641933,29.4797622632,28.233690734,28.8806165446,6752708
2023-06-02 00:00:00+00:00,29.5821022549,29.5914400397,28.1534211801,28.8537550403,5402052
2023-06-09 00:00:00+00:00,29.7315068118,30.3197872544,29.1432263692,29.6101156094,5754361
2023-06-16 00:00:00+00:00,31.0574722538,31.8791973164,29.6381289638,29.768857951,6566826
2023-06-23 00:00:00+00:00,29.5540889005,30.5999207984,29.3860087741,30.5812452288,4000267
2023-06-30 00:00:00+00:00,30.4691918112,31.048134469,29.3066376033,29.4233599133,7034780
2023-07-07 00:00:00+00:00,29.815546875,30.7213120009,28.8584239327,30.4878673808,4743240
2023-07-14 00:00:00+00:00,30.8427032033,30.9734321905,29.3533265273,29.675480103,6803750
2023-07-21 00:00:00+00:00,31.5710504179,31.6224082343,30.5905830136,30.8427032033,4775414
2023-07-28 00:00:00+00:00,31.5990637723,32.2060197845,31.3095924434,31.5243614939,3901692
2023-08-04 00:00:00+00:00,30.7213120009,31.94456181,29.675480103,31.6644282659,5089877
2023-08-11 00:00:00+00:00,32.8036380119,32.8970158599,30.2917738999,30.8240276337,6778628
2023-08-18 00:00:00+00:00,31.3562813675,33.1958249736,30.8146898489,32.607544531,4081449
2023-08-25 00:00:00+00:00,31.0294588994,31.4636658927,30.2964427924,31.4309836459,3535469
2023-09-01 00:00:00+00:00,32.8810190302,33.173169099,31.048134469,31.234890165,3857477
