date,Open,High,Low,Close,Volume
2025-07-09 13:30:00+00:00,157.625,157.625,157.46,157.46,204.0
2025-07-09 13:35:00+00:00,157.305,157.58,157.295,157.55,393.0
2025-07-09 13:40:00+00:00,157.55,158.03,157.36,157.97,719.0
2025-07-09 13:45:00+00:00,157.58,158.0,157.58,158.0,395.0
2025-07-09 13:50:00+00:00,158.05,158.13,158.04,158.04,207.0
2025-07-09 13:55:00+00:00,158.46,158.545,158.325,158.325,158.0
2025-07-09 14:00:00+00:00,158.19,158.19,158.03,158.05,509.0
2025-07-09 14:05:00+00:00,158.05,158.05,158.05,158.05,0.0
2025-07-09 14:10:00+00:00,158.55,158.62,158.49,158.49,398.0
2025-07-09 14:15:00+00:00,158.66,159.21,158.66,158.915,1395.0
2025-07-09 14:20:00+00:00,158.76,158.805,158.66,158.66,357.0
2025-07-09 14:25:00+00:00,158.66,159.12,158.66,159.09,433.0
2025-07-09 14:30:00+00:00,159.08,159.28,159.05,159.05,2623.0
2025-07-09 14:35:00+00:00,159.155,159.31,159.155,159.31,249.0
2025-07-09 14:40:00+00:00,159.15,159.42,159.15,159.42,8.0
2025-07-09 14:45:00+00:00,159.34,159.36,159.31,159.355,377.0
2025-07-09 14:50:00+00:00,159.355,159.48,159.21,159.48,204.0
2025-07-09 14:55:00+00:00,159.52,159.52,159.28,159.335,244.0
2025-07-09 15:00:00+00:00,159.31,159.31,159.29,159.29,312.0
2025-07-09 15:05:00+00:00,159.24,159.24,159.06,159.06,333.0
2025-07-09 15:10:00+00:00,159.025,159.025,158.72,158.72,188.0
2025-07-09 15:15:00+00:00,158.63,158.72,158.63,158.72,198.0
2025-07-09 15:20:00+00:00,158.71,158.715,158.4,158.4,164.0
2025-07-09 15:25:00+00:00,158.42,158.54,158.42,158.53,200.0
2025-07-09 15:30:00+00:00,158.535,158.595,158.38,158.385,346.0
2025-07-09 15:35:00+00:00,158.42,158.42,157.95,157.95,182.0
2025-07-09 15:40:00+00:00,157.94,157.94,157.94,157.94,1.0
2025-07-09 15:45:00+00:00,157.94,158.19,157.94,158.19,5.0
2025-07-09 15:50:00+00:00,158.19,158.245,158.16,158.16,111.0
2025-07-09 15:55:00+00:00,158.16,158.39,158.16,158.23,149.0
2025-07-09 16:00:00+00:00,158.22,158.22,158.17,158.17,8.0
2025-07-09 16:05:00+00:00,158.17,158.17,158.08,158.08,73.0
2025-07-09 16:10:00+00:00,158.08,158.08,158.08,158.08,0.0
